# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0 0
35 1.2075 0 0
36 1.2425 0.0112636 0.000625
37 1.2775 0.0191788 0.00175
38 1.3125 0.0484523 0.00475
39 1.3475 0.126412 0.013
40 1.3825 0.205614 0.027125
41 1.4175 0.278667 0.04725
42 1.4525 0.382439 0.07625
43 1.4875 0.548554 0.119875
44 1.5225 0.603142 0.170125
45 1.5575 0.610749 0.223375
46 1.5925 0.67608 0.285
47 1.6275 0.660445 0.347875
48 1.6625 0.64803 0.41225
49 1.6975 0.657793 0.480375
50 1.7325 0.605994 0.54575
51 1.7675 0.576666 0.6105
52 1.8025 0.546996 0.674375
53 1.8375 0.564469 0.742875
54 1.8725 0.528687 0.8095
55 1.9075 0.613651 0.88975
56 1.9425 0.725385 0.988125
57 1.9775 0.795098 1.09987
58 2.0125 0.966045 1.2405
59 2.0475 1.01626 1.39362
60 2.0825 1.17646 1.577
61 2.1175 1.31086 1.78825
62 2.1525 1.33839 2.01112
63 2.1875 1.43182 2.25737
64 2.2225 1.42088 2.50962
65 2.2575 1.45359 2.77587
66 2.2925 1.42411 3.04487
67 2.3275 1.40664 3.31875
68 2.3625 1.43693 3.607
69 2.3975 1.37289 3.89062
70 2.4325 1.36188 4.18025
71 2.4675 1.29953 4.46462
72 2.5025 1.20457 4.73575
73 2.5375 1.14564 5.00087
74 2.5725 1.15567 5.27575
75 2.6075 1.11105 5.54725
76 2.6425 1.13261 5.8315
77 2.6775 1.07554 6.10862
78 2.7125 1.03142 6.38137
79 2.7475 1.03342 6.66175
80 2.7825 1.03813 6.95062
81 2.8175 1.01995 7.24162
82 2.8525 1.04123 7.54612
83 2.8875 1.02532 7.85337
84 2.9225 1.06321 8.17975
85 2.9575 1.0215 8.50088
86 2.9925 0.990363 8.81963
87 3.0275 1.03286 9.15987
88 3.0625 0.994927 9.49525
89 3.0975 0.987432 9.83575
90 3.1325 0.99101 10.1852
91 3.1675 0.941499 10.5247
92 3.2025 0.965456 10.8806
93 3.2375 0.937726 11.2339
94 3.2725 0.927518 11.5909
95 3.3075 0.956316 11.9669
96 3.3425 0.927989 12.3395
97 3.3775 0.939649 12.7247
98 3.4125 0.940185 13.1182
99 3.4475 0.929678 13.5154
100 3.4825 0.910225 13.9121
101 3.5175 0.921435 14.3219
102 3.5525 0.912463 14.7357
103 3.5875 0.914473 15.1587
104 3.6225 0.956786 15.61
105 3.6575 0.927902 16.0561
106 3.6925 0.914221 16.5041
107 3.7275 0.940689 16.9739
108 3.7625 0.92204 17.443
109 3.7975 0.911393 17.9154
110 3.8325 0.946916 18.4152
111 3.8675 0.937528 18.9192
112 3.9025 0.961666 19.4456
113 3.9375 0.925578 19.9614
114 3.9725 0.945925 20.4979
115 4.0075 0.980799 21.064
116 4.0425 0.967933 21.6325
117 4.0775 0.967704 22.2108
118 4.1125 0.950686 22.7886
119 4.1475 0.989501 23.4004
120 4.1825 0.970226 24.0104
121 4.2175 0.995838 24.647
122 4.2525 0.97759 25.2824
