# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00255834 0.000125
34 1.1725 0.0168553 0.001
35 1.2075 0.0658399 0.004625
36 1.2425 0.190838 0.01575
37 1.2775 0.375248 0.038875
38 1.3125 0.584178 0.076875
39 1.3475 0.831341 0.133875
40 1.3825 1.04958 0.209625
41 1.4175 1.29824 0.308125
42 1.4525 1.48277 0.42625
43 1.4875 1.60981 0.56075
44 1.5225 1.48952 0.691125
45 1.5575 1.50794 0.82925
46 1.5925 1.28444 0.95225
47 1.6275 1.26604 1.07888
48 1.6625 1.08753 1.19237
49 1.6975 0.909885 1.29137
50 1.7325 0.830481 1.3855
51 1.7675 0.69937 1.468
52 1.8025 0.640889 1.54662
53 1.8375 0.581411 1.62075
54 1.8725 0.58726 1.6985
55 1.9075 0.625955 1.7845
56 1.9425 0.604479 1.87062
57 1.9775 0.712794 1.97588
58 2.0125 0.819812 2.10125
59 2.0475 0.843352 2.23475
60 2.0825 0.902263 2.3825
61 2.1175 0.982692 2.54887
62 2.1525 1.04031 2.73087
63 2.1875 1.00521 2.9125
64 2.2225 1.0254 3.10375
65 2.2575 1.00555 3.29725
66 2.2925 1.06075 3.50775
67 2.3275 1.02969 3.71837
68 2.3625 1.06762 3.94337
69 2.3975 1.04416 4.17
70 2.4325 1.04287 4.403
71 2.4675 0.965645 4.625
72 2.5025 0.994857 4.86025
73 2.5375 1.02313 5.109
74 2.5725 0.993477 5.35725
75 2.6075 1.03418 5.62275
76 2.6425 1.05058 5.89975
77 2.6775 1.06301 6.1875
78 2.7125 1.029 6.47337
79 2.7475 1.03102 6.76725
80 2.7825 1.02791 7.06775
81 2.8175 1.06091 7.38575
82 2.8525 1.00615 7.69487
83 2.8875 1.02797 8.0185
84 2.9225 1.02132 8.34788
85 2.9575 1.03287 8.689
86 2.9925 0.998868 9.02675
87 3.0275 1.00625 9.375
88 3.0625 1.01267 9.73362
89 3.0975 0.988538 10.0917
90 3.1325 0.989513 10.4584
91 3.1675 0.966777 10.8246
92 3.2025 0.979976 11.2041
93 3.2375 0.981327 11.5925
94 3.2725 0.947774 11.9758
95 3.3075 0.964741 12.3743
96 3.3425 0.94168 12.7715
97 3.3775 0.94461 13.1784
98 3.4125 0.967975 13.604
99 3.4475 0.958448 14.0341
100 3.4825 0.953747 14.4709
101 3.5175 0.970715 14.9244
102 3.5525 0.986832 15.3946
103 3.5875 0.997766 15.8795
104 3.6225 0.964704 16.3575
105 3.6575 0.994586 16.8599
106 3.6925 1.00326 17.3764
107 3.7275 1.01286 17.9078
108 3.7625 1.00159 18.4431
109 3.7975 1.03256 19.0054
110 3.8325 1.01627 19.569
111 3.8675 0.99973 20.1336
112 3.9025 1.0234 20.7221
113 3.9375 1.00144 21.3084
114 3.9725 1.02352 21.9183
115 4.0075 1.02386 22.5391
116 4.0425 1.01775 23.1671
117 4.0775 0.994782 23.7916
118 4.1125 1.0251 24.4463
119 4.1475 1.03904 25.1211
120 4.1825 1.03706 25.8061
121 4.2175 1.01563 26.4883
