# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
198 6.9125 0.994018 124.938
199 6.9475 1.00091 126.857
200 6.9825 0.98806 128.772
100 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0.00457892 0.00025
35 1.2075 0.0151107 0.001125
36 1.2425 0.0407755 0.003625
37 1.2775 0.0906442 0.0095
38 1.3125 0.211946 0.024
39 1.3475 0.346688 0.049
40 1.3825 0.500623 0.087
41 1.4175 0.733109 0.1455
42 1.4525 0.936909 0.224
43 1.4875 1.02279 0.313875
44 1.5225 1.21122 0.425375
45 1.5575 1.2054 0.5415
46 1.5925 1.2647 0.668875
47 1.6275 1.13247 0.788
48 1.6625 1.13881 0.913
49 1.6975 1.01806 1.0295
50 1.7325 0.933297 1.14075
51 1.7675 0.854385 1.24675
52 1.8025 0.742088 1.3425
53 1.8375 0.742988 1.44213
54 1.8725 0.732529 1.54413
55 1.9075 0.707625 1.64638
56 1.9425 0.75326 1.75925
57 1.9775 0.784786 1.88113
58 2.0125 0.867306 2.02063
59 2.0475 0.909236 2.172
60 2.0825 0.983445 2.34138
61 2.1175 1.07125 2.53213
62 2.1525 1.11278 2.73688
63 2.1875 1.11298 2.94838
64 2.2225 1.1107 3.16625
65 2.2575 1.18893 3.40688
66 2.2925 1.20441 3.65825
67 2.3275 1.1673 3.90938
68 2.3625 1.1482 4.16387
69 2.3975 1.11821 4.41913
70 2.4325 1.05381 4.66675
71 2.4675 1.12339 4.93838
72 2.5025 1.09017 5.2095
73 2.5375 1.06226 5.48113
74 2.5725 1.04735 5.75638
75 2.6075 1.00461 6.02763
76 2.6425 1.00792 6.30713
77 2.6775 1.04014 6.60325
78 2.7125 1.00962 6.89825
79 2.7475 1.01241 7.20175
80 2.7825 1.00215 7.50987
81 2.8175 0.98018 7.81887
82 2.8525 1.02242 8.14925
83 2.8875 1.03101 8.49062
84 2.9225 1.01494 8.83487
85 2.9575 0.989262 9.1785
86 2.9925 1.00527 9.536
87 3.0275 1.04329 9.91575
88 3.0625 0.997767 10.2874
89 3.0975 0.984532 10.6625
90 3.1325 0.974523 11.0422
91 3.1675 1.00111 11.4411
92 3.2025 0.993769 11.8459
93 3.2375 0.988314 12.2572
94 3.2725 0.975223 12.672
95 3.3075 0.958433 13.0884
96 3.3425 0.981291 13.5237
97 3.3775 0.938157 13.9487
98 3.4125 0.96361 14.3944
99 3.4475 1.00161 14.8671
100 3.4825 0.967307 15.333
101 3.5175 0.971813 15.8105
102 3.5525 0.955003 16.2891
103 3.5875 0.940373 16.7697
104 3.6225 0.978658 17.2797
105 3.6575 0.975312 17.7979
106 3.6925 0.946291 18.3102
107 3.7275 0.970061 18.8455
108 3.7625 0.970108 19.3909
109 3.7975 0.999891 19.9635
110 3.8325 0.978711 20.5344
111 3.8675 0.977281 21.1149
112 3.9025 0.963137 21.6974
113 3.9375 0.993802 22.3093
114 3.9725 0.992324 22.9311
115 4.0075 0.993882 23.565
116 4.0425 0.995045 24.2108
117 4.0775 1.0053 24.8745
118 4.1125 0.996635 25.5439
119 4.1475 1.00166 26.2281
120 4.1825 1.0161 26.934
121 4.2175 1.02036 27.6547
122 4.2525 0.989533 28.3654
123 4.2875 1.02516 29.1137
124 4.3225 1.01115 29.864
125 4.3575 1.03807 30.6467
126 4.3925 1.02192 31.4297
127 4.4275 1.01482 32.2197
