# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00485052 0.00025
34 1.1725 0.00913057 0.00075
35 1.2075 0.0107612 0.001375
36 1.2425 0.0386214 0.00375
37 1.2775 0.105757 0.010625
38 1.3125 0.198563 0.02425
39 1.3475 0.305905 0.046375
40 1.3825 0.476146 0.082625
41 1.4175 0.637218 0.133625
42 1.4525 0.844872 0.204625
43 1.4875 0.992796 0.292125
44 1.5225 1.14669 0.398
45 1.5575 1.18758 0.51275
46 1.5925 1.15699 0.629625
47 1.6275 1.08289 0.743875
48 1.6625 1.10022 0.865
49 1.6975 0.968194 0.976125
50 1.7325 0.909607 1.08488
51 1.7675 0.862891 1.19225
52 1.8025 0.738913 1.28788
53 1.8375 0.689655 1.38062
54 1.8725 0.721397 1.48137
55 1.9075 0.695168 1.58213
56 1.9425 0.743532 1.69388
57 1.9775 0.867515 1.829
58 2.0125 0.836829 1.964
59 2.0475 0.869848 2.10925
60 2.0825 1.03985 2.28887
61 2.1175 1.09605 2.48462
62 2.1525 1.1203 2.69137
63 2.1875 1.21066 2.92212
64 2.2225 1.18935 3.15612
65 2.2575 1.22542 3.40487
66 2.2925 1.20799 3.65775
67 2.3275 1.18932 3.91437
68 2.3625 1.17627 4.17587
69 2.3975 1.18585 4.44737
70 2.4325 1.10742 4.70837
71 2.4675 1.08654 4.97187
72 2.5025 1.09494 5.245
73 2.5375 1.10979 5.52962
74 2.5725 1.03712 5.803
75 2.6075 0.993767 6.07212
76 2.6425 1.03144 6.359
77 2.6775 0.997643 6.64387
78 2.7125 1.02026 6.94287
79 2.7475 0.993602 7.24162
80 2.7825 0.987409 7.54612
81 2.8175 0.979634 7.85588
82 2.8525 0.993539 8.17788
83 2.8875 0.997829 8.50925
84 2.9225 0.989872 8.846
85 2.9575 1.0387 9.20787
86 2.9925 1.00578 9.56663
87 3.0275 1.02752 9.94175
88 3.0625 0.989776 10.3115
89 3.0975 0.968189 10.6815
90 3.1325 0.989531 11.0682
91 3.1675 0.958087 11.4511
92 3.2025 0.953172 11.8405
93 3.2375 1.00274 12.2591
94 3.2725 0.985506 12.6795
95 3.3075 0.983406 13.108
96 3.3425 0.9382 13.5255
97 3.3775 0.98103 13.9712
98 3.4125 0.953734 14.4136
99 3.4475 0.959024 14.8676
100 3.4825 0.992115 15.3469
101 3.5175 0.975767 15.8277
102 3.5525 0.95763 16.3091
103 3.5875 0.984878 16.814
104 3.6225 0.978614 17.3255
105 3.6575 0.942614 17.8278
106 3.6925 0.9803 18.3601
107 3.7275 0.985694 18.9056
108 3.7625 0.964337 19.4494
109 3.7975 0.9597 20.0006
110 3.8325 0.990967 20.5804
111 3.8675 1.0092 21.1816
112 3.9025 1.00808 21.7931
113 3.9375 0.994688 22.4074
114 3.9725 0.988375 23.0286
115 4.0075 0.953208 23.6384
116 4.0425 0.983056 24.2783
117 4.0775 0.970971 24.9213
118 4.1125 1.03059 25.6155
119 4.1475 1.02203 26.3158
120 4.1825 1.03801 27.039
121 4.2175 0.996501 27.745
