# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0 0
35 1.2075 0.00654434 0.000375
36 1.2425 0.043266 0.003
37 1.2775 0.0993964 0.009375
38 1.3125 0.192025 0.022375
39 1.3475 0.310056 0.0445
40 1.3825 0.494256 0.081625
41 1.4175 0.606289 0.1295
42 1.4525 0.854829 0.200375
43 1.4875 1.06377 0.292875
44 1.5225 1.08815 0.392
45 1.5575 1.16698 0.50325
46 1.5925 1.23666 0.6265
47 1.6275 1.1204 0.743125
48 1.6625 0.985108 0.850125
49 1.6975 0.976917 0.96075
50 1.7325 0.835054 1.05925
51 1.7675 0.796202 1.157
52 1.8025 0.726422 1.24975
53 1.8375 0.718797 1.34512
54 1.8725 0.693085 1.44062
55 1.9075 0.752682 1.54825
56 1.9425 0.776382 1.66337
57 1.9775 0.809335 1.78775
58 2.0125 0.891379 1.92962
59 2.0475 0.926417 2.08225
60 2.0825 0.98062 2.24937
61 2.1175 1.09248 2.44187
62 2.1525 1.10461 2.643
63 2.1875 1.14134 2.85762
64 2.2225 1.19969 3.0905
65 2.2575 1.2046 3.33175
66 2.2925 1.21289 3.58225
67 2.3275 1.21426 3.84075
68 2.3625 1.15917 4.095
69 2.3975 1.13609 4.35162
70 2.4325 1.20255 4.63125
71 2.4675 1.08561 4.891
72 2.5025 1.0905 5.15937
73 2.5375 1.03593 5.4215
74 2.5725 1.0435 5.69287
75 2.6075 1.0386 5.97037
76 2.6425 0.999879 6.24475
77 2.6775 1.00231 6.52712
78 2.7125 1.03886 6.8275
79 2.7475 1.04122 7.13637
80 2.7825 0.996699 7.43962
81 2.8175 1.00495 7.75312
82 2.8525 1.01484 8.07762
83 2.8875 1.00145 8.40575
84 2.9225 0.993994 8.73937
85 2.9575 1.00552 9.085
86 2.9925 1.01979 9.44387
87 3.0275 0.975522 9.79525
88 3.0625 0.989641 10.16
89 3.0975 0.964419 10.5236
90 3.1325 1.01463 10.9149
91 3.1675 0.990745 11.3055
92 3.2025 0.97417 11.6981
93 3.2375 0.974464 12.0995
94 3.2725 0.978087 12.5111
95 3.3075 0.964766 12.9259
96 3.3425 0.946945 13.3416
97 3.3775 0.985699 13.7835
98 3.4125 0.968041 14.2265
99 3.4475 0.983545 14.6859
100 3.4825 0.93791 15.1329
101 3.5175 0.954044 15.5967
102 3.5525 0.959534 16.0726
103 3.5875 0.954497 16.5554
104 3.6225 0.967168 17.0541
105 3.6575 0.972287 17.5652
106 3.6925 0.989637 18.0955
107 3.7275 0.943667 18.6107
108 3.7625 0.973378 19.1522
109 3.7975 1.01441 19.7271
110 3.8325 0.983408 20.2947
111 3.8675 0.991421 20.8775
112 3.9025 0.96035 21.4522
113 3.9375 1.0207 22.0741
114 3.9725 1.01146 22.7014
115 4.0075 0.995852 23.3299
116 4.0425 0.992113 23.967
117 4.0775 0.969606 24.6005
118 4.1125 0.985898 25.2557
119 4.1475 1.00317 25.9339
120 4.1825 1.00936 26.6277
121 4.2175 0.988206 27.3185
122 4.2525 1.01915 28.0427
