# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0 0
35 1.2075 0.00917739 0.0005
36 1.2425 0.0281699 0.002125
37 1.2775 0.032797 0.004125
38 1.3125 0.0504908 0.007375
39 1.3475 0.125283 0.015875
40 1.3825 0.206534 0.030625
41 1.4175 0.381269 0.05925
42 1.4525 0.463013 0.09575
43 1.4875 0.58209 0.143875
44 1.5225 0.71006 0.205375
45 1.5575 0.808141 0.278625
46 1.5925 0.784882 0.353
47 1.6275 0.809586 0.433125
48 1.6625 0.801276 0.515875
49 1.6975 0.781347 0.6
50 1.7325 0.74341 0.683375
51 1.7675 0.692843 0.76425
52 1.8025 0.644576 0.8425
53 1.8375 0.636108 0.92275
54 1.8725 0.662166 1.0095
55 1.9075 0.706128 1.1055
56 1.9425 0.703964 1.20475
57 1.9775 0.811013 1.32325
58 2.0125 0.883822 1.457
59 2.0475 1.0007 1.61375
60 2.0825 1.0684 1.78688
61 2.1175 1.1632 1.98175
62 2.1525 1.29753 2.20637
63 2.1875 1.38708 2.45438
64 2.2225 1.4074 2.71413
65 2.2575 1.35491 2.97213
66 2.2925 1.39087 3.24525
67 2.3275 1.34318 3.51713
68 2.3625 1.40917 3.811
69 2.3975 1.33341 4.09737
70 2.4325 1.31567 4.38825
71 2.4675 1.20608 4.66262
72 2.5025 1.17525 4.93762
73 2.5375 1.14721 5.21362
74 2.5725 1.15362 5.49887
75 2.6075 1.083 5.774
76 2.6425 1.09235 6.059
77 2.6775 1.07378 6.34663
78 2.7125 1.06716 6.64
79 2.7475 1.01179 6.92538
80 2.7825 0.998159 7.21413
81 2.8175 1.01102 7.514
82 2.8525 1.01227 7.82175
83 2.8875 0.999512 8.13313
84 2.9225 0.994125 8.45038
85 2.9575 1.00631 8.77925
86 2.9925 0.987761 9.10975
87 3.0275 0.978925 9.445
88 3.0625 0.967379 9.784
89 3.0975 0.990621 10.1391
90 3.1325 1.00816 10.5088
91 3.1675 0.978332 10.8755
92 3.2025 1.00338 11.26
93 3.2375 0.964571 11.6378
94 3.2725 0.94811 12.0171
95 3.3075 0.918059 12.3924
96 3.3425 0.937262 12.7836
97 3.3775 0.961929 13.1936
98 3.4125 0.949193 13.6066
99 3.4475 0.927485 14.0185
100 3.4825 0.935142 14.4422
101 3.5175 0.938797 14.8762
102 3.5525 0.946899 15.3227
103 3.5875 0.945929 15.7776
104 3.6225 0.955527 16.2461
105 3.6575 0.934326 16.7131
106 3.6925 0.940499 17.1922
107 3.7275 0.917141 17.6684
108 3.7625 0.970109 18.1815
109 3.7975 0.926095 18.6805
110 3.8325 0.957317 19.2059
111 3.8675 0.952146 19.738
112 3.9025 0.973367 20.2919
113 3.9375 0.971029 20.8544
114 3.9725 0.950602 21.4149
115 4.0075 0.930112 21.973
116 4.0425 0.967713 22.5639
117 4.0775 0.993629 23.1811
118 4.1125 0.986283 23.8044
119 4.1475 0.991101 24.4414
120 4.1825 0.980894 25.0825
121 4.2175 1.00343 25.7494
122 4.2525 1.00825 26.4306
