# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0 0
35 1.2075 0 0
36 1.2425 0.00457256 0.00025
37 1.2775 0.0173018 0.00125
38 1.3125 0.028685 0.003
39 1.3475 0.079699 0.008125
40 1.3825 0.142196 0.01775
41 1.4175 0.186204 0.031
42 1.4525 0.269354 0.051125
43 1.4875 0.370088 0.080125
44 1.5225 0.443109 0.1165
45 1.5575 0.551462 0.163875
46 1.5925 0.627699 0.22025
47 1.6275 0.652963 0.2815
48 1.6625 0.759851 0.355875
49 1.6975 0.622271 0.419375
50 1.7325 0.670293 0.490625
51 1.7675 0.559272 0.5525
52 1.8025 0.564924 0.6175
53 1.8375 0.531064 0.681
54 1.8725 0.619113 0.757875
55 1.9075 0.607273 0.836125
56 1.9425 0.731516 0.933875
57 1.9775 0.77084 1.04062
58 2.0125 0.88806 1.168
59 2.0475 0.960679 1.31062
60 2.0825 1.10934 1.481
61 2.1175 1.20916 1.673
62 2.1525 1.36824 1.8975
63 2.1875 1.46717 2.14612
64 2.2225 1.41918 2.39437
65 2.2575 1.5085 2.66662
66 2.2925 1.48965 2.94387
67 2.3275 1.43933 3.22
68 2.3625 1.45138 3.50687
69 2.3975 1.3866 3.78912
70 2.4325 1.36726 4.07562
71 2.4675 1.29165 4.35412
72 2.5025 1.28283 4.63863
73 2.5375 1.21644 4.916
74 2.5725 1.24597 5.208
75 2.6075 1.1681 5.48925
76 2.6425 1.1414 5.7715
77 2.6775 1.12357 6.05675
78 2.7125 1.08085 6.33838
79 2.7475 1.06378 6.62275
80 2.7825 1.08733 6.92088
81 2.8175 1.0307 7.21063
82 2.8525 1.03506 7.50888
83 2.8875 1.03467 7.81438
84 2.9225 1.04021 8.129
85 2.9575 0.982642 8.43338
86 2.9925 1.02601 8.75875
87 3.0275 1.03054 9.09325
88 3.0625 1.04513 9.44038
89 3.0975 1.02863 9.78988
90 3.1325 0.942825 10.1175
91 3.1675 0.982617 10.4666
92 3.2025 0.956782 10.8141
93 3.2375 0.949678 11.1666
94 3.2725 0.9153 11.5138
95 3.3075 0.929588 11.8739
96 3.3425 0.909906 12.2339
97 3.3775 0.92116 12.606
98 3.4125 0.938129 12.9929
99 3.4475 0.905516 13.374
100 3.4825 0.903705 13.7621
101 3.5175 0.878963 14.1473
102 3.5525 0.903963 14.5513
103 3.5875 0.901769 14.9623
104 3.6225 0.908906 15.3846
105 3.6575 0.910064 15.8158
106 3.6925 0.918782 16.2594
107 3.7275 0.890431 16.6975
108 3.7625 0.944257 17.1709
109 3.7975 0.924728 17.6431
110 3.8325 0.912241 18.1176
111 3.8675 0.931675 18.6111
112 3.9025 0.958612 19.1281
113 3.9375 0.945516 19.6472
114 3.9725 0.944809 20.1752
115 4.0075 0.921785 20.6995
116 4.0425 0.960972 21.2556
117 4.0775 0.942634 21.8106
118 4.1125 0.974869 22.3945
119 4.1475 0.975517 22.9887
120 4.1825 0.958451 23.5825
121 4.2175 0.992816 24.2079
122 4.2525 1.00074 24.8487
