# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.334958 0.333193 0.33699 1.00514
4000 1.0001 0.991435 0.989769 2.98131
6000 1.62462 1.59938 1.58494 4.80894
8000 2.20333 2.20154 2.19535 6.60021
10000 2.80302 2.78303 2.85122 8.43728
12000 3.38426 3.33077 3.47807 10.1931
14000 3.98762 3.93158 4.08958 12.0088
16000 4.62226 4.5483 4.6878 13.8584
18000 5.2313 5.14668 5.21933 15.5973
20000 5.8756 5.71974 5.80973 17.4051
22000 6.49312 6.34458 6.49301 19.3307
24000 7.10094 6.95191 7.13327 21.1861
26000 7.72192 7.60484 7.8275 23.1543
28000 8.38772 8.23546 8.49973 25.1229
30000 8.9919 8.874 9.15307 27.019
32000 9.58757 9.48328 9.7215 28.7923
34000 10.2348 10.0336 10.3177 30.5861
36000 10.8865 10.5831 10.9144 32.384
38000 11.507 11.1241 11.5533 34.1843
40000 12.1407 11.6704 12.2169 36.028
42000 12.7641 12.2977 12.8416 37.9034
44000 13.4 12.8096 13.4336 39.6432
46000 13.9762 13.4041 14.079 41.4593
48000 14.6123 14.0721 14.7501 43.4344
50000 15.1947 14.6556 15.3707 45.221
52000 15.7591 15.1846 15.8964 46.84
54000 16.3512 15.7128 16.5609 48.6249
56000 17.0216 16.2929 17.248 50.5625
58000 17.5734 16.7864 17.8588 52.2186
60000 18.1985 17.3416 18.5205 54.0605
62000 18.7484 17.9493 19.1527 55.8504
64000 19.3241 18.5793 19.7143 57.6176
66000 19.9034 19.2255 20.391 59.52
68000 20.5431 19.7953 21.0436 61.3819
70000 21.2334 20.4921 21.7145 63.44
72000 21.876 21.1699 22.3871 65.433
74000 22.4934 21.8043 23.075 67.3728
76000 23.1725 22.4068 23.7285 69.3078
78000 23.9479 23.0134 24.4294 71.3908
80000 24.5737 23.6456 25.1296 73.3489
82000 25.1649 24.2323 25.7279 75.1252
84000 25.9371 24.9422 26.3983 77.2776
86000 26.583 25.5588 27.1223 79.2642
88000 27.1725 26.134 27.7635 81.07
90000 27.861 26.7704 28.3593 82.9907
92000 28.4822 27.4284 29.0676 84.9782
94000 29.0692 28.03 29.7064 86.8056
96000 29.6242 28.6288 30.2612 88.5143
98000 30.3386 29.3773 30.8159 90.5317
100000 31.0634 30.1597 31.4373 92.6604
