# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.275027 0.263703 0.266564 0.805294
4000 0.727034 0.695776 0.712043 2.13485
6000 1.13555 1.11218 1.11515 3.36288
8000 1.52902 1.53032 1.50401 4.56335
10000 1.89935 1.92664 1.8997 5.72569
12000 2.27345 2.30996 2.29128 6.87469
14000 2.6836 2.72023 2.705 8.10884
16000 3.0984 3.13538 3.1274 9.36118
18000 3.53174 3.51876 3.5532 10.6037
20000 3.93814 3.89187 4.00029 11.8303
22000 4.31974 4.28108 4.4274 13.0282
24000 4.71376 4.71006 4.83771 14.2615
26000 5.15843 5.10179 5.22743 15.4876
28000 5.58824 5.50681 5.56301 16.6581
30000 5.96762 5.90033 5.90435 17.7723
32000 6.38128 6.31098 6.28799 18.9802
34000 6.83186 6.67899 6.69388 20.2047
36000 7.26437 7.06874 7.11849 21.4516
38000 7.69393 7.51031 7.50268 22.7069
40000 8.06934 7.92936 7.95297 23.9517
42000 8.43303 8.26286 8.40464 25.1005
44000 8.79057 8.69831 8.8253 26.3142
46000 9.11575 9.19557 9.248 27.5593
48000 9.46878 9.61507 9.63866 28.7225
50000 9.85261 10.0209 10.0426 29.9161
52000 10.257 10.4434 10.4713 31.1717
54000 10.5974 10.8779 10.9155 32.3908
56000 10.9631 11.371 11.401 33.7351
58000 11.3742 11.7785 11.8759 35.0286
60000 11.7804 12.1809 12.3395 36.3009
62000 12.2336 12.6309 12.7436 37.6081
64000 12.6709 13.0473 13.1644 38.8825
66000 13.0965 13.5177 13.5226 40.1367
68000 13.5228 13.9188 13.9098 41.3514
70000 13.9367 14.3502 14.3771 42.664
72000 14.3796 14.7985 14.7911 43.9692
74000 14.8364 15.2276 15.2549 45.319
76000 15.2815 15.6499 15.6491 46.5804
78000 15.7233 16.0498 16.0702 47.8434
80000 16.1109 16.4682 16.5158 49.0949
82000 16.476 16.9001 16.896 50.2721
84000 16.8249 17.3116 17.261 51.3975
86000 17.1839 17.7693 17.6349 52.5881
88000 17.5754 18.096 18.0399 53.7113
90000 17.9616 18.4198 18.4339 54.8153
92000 18.3688 18.8396 18.8407 56.0491
94000 18.8245 19.2207 19.2183 57.2636
96000 19.253 19.5986 19.6694 58.521
98000 19.692 20.0097 20.071 59.7728
100000 20.1018 20.4191 20.4662 60.9871
