# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.264347 0.273714 0.263471 0.801532
4000 0.71208 0.707668 0.69996 2.11971
6000 1.11618 1.09941 1.101 3.31659
8000 1.50153 1.50461 1.49606 4.5022
10000 1.894 1.93772 1.91705 5.74877
12000 2.29673 2.34476 2.32921 6.97071
14000 2.69926 2.76901 2.74819 8.21646
16000 3.07482 3.18513 3.16056 9.4205
18000 3.44322 3.58814 3.57414 10.6055
20000 3.86249 4.00382 3.96597 11.8323
22000 4.30232 4.48634 4.31488 13.1035
24000 4.68694 4.93909 4.67058 14.2966
26000 5.06457 5.32642 5.06925 15.4602
28000 5.49618 5.75277 5.49433 16.7433
30000 5.84423 6.13042 5.88221 17.8569
32000 6.20389 6.5584 6.24863 19.0109
34000 6.57215 6.98035 6.64615 20.1987
36000 7.01645 7.37191 6.9729 21.3613
38000 7.43581 7.79296 7.30713 22.5359
40000 7.83525 8.18288 7.65305 23.6712
42000 8.22159 8.58111 8.03803 24.8407
44000 8.59596 8.97897 8.37157 25.9465
46000 9.00271 9.32399 8.72976 27.0565
48000 9.44192 9.68385 9.17107 28.2968
50000 9.81971 10.1338 9.64549 29.5991
52000 10.2298 10.562 10.0539 30.8457
54000 10.6369 10.9512 10.4402 32.0284
56000 11.0802 11.3881 10.8975 33.3659
58000 11.523 11.7836 11.3989 34.7055
60000 11.9313 12.2444 11.8343 36.01
62000 12.3632 12.7209 12.3082 37.3923
64000 12.7675 13.2289 12.695 38.6914
66000 13.211 13.6574 13.1302 39.9987
68000 13.6982 14.1516 13.5189 41.3687
70000 14.1686 14.6473 13.892 42.7079
72000 14.5589 15.122 14.2722 43.953
74000 15.0031 15.5118 14.6077 45.1226
76000 15.4109 15.9342 15.0384 46.3835
78000 15.8293 16.4574 15.5068 47.7935
80000 16.2453 16.8908 15.9476 49.0836
82000 16.6915 17.3151 16.358 50.3646
84000 17.1466 17.7492 16.7728 51.6686
86000 17.6053 18.2099 17.2142 53.0295
88000 18.0429 18.6155 17.6856 54.3441
90000 18.4411 18.9465 18.0539 55.4416
92000 18.7806 19.3228 18.4903 56.5937
94000 19.0916 19.7075 18.9111 57.7103
96000 19.5288 19.9857 19.3142 58.8288
98000 20.0037 20.2845 19.7087 59.9969
100000 20.4086 20.5668 20.1417 61.1171
