# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.308015 0.309398 0.31199 0.929403
4000 0.912017 0.894966 0.925308 2.73229
6000 1.47476 1.45185 1.50539 4.432
8000 2.02752 2.00789 2.10341 6.13882
10000 2.61002 2.59355 2.69264 7.89621
12000 3.19331 3.19716 3.31229 9.70276
14000 3.80417 3.77388 3.95491 11.533
16000 4.40721 4.36638 4.59581 13.3694
18000 4.99803 4.95831 5.18196 15.1383
20000 5.56732 5.53188 5.69148 16.7907
22000 6.13497 6.10523 6.24353 18.4837
24000 6.71527 6.72187 6.86132 20.2985
26000 7.24931 7.31505 7.44054 22.0049
28000 7.81407 7.8783 7.9381 23.6305
30000 8.41678 8.4665 8.44712 25.3304
32000 8.99018 9.14037 9.06431 27.1949
34000 9.56959 9.76225 9.66592 28.9978
36000 10.1156 10.3306 10.2661 30.7123
38000 10.6564 10.8961 10.891 32.4435
40000 11.2125 11.4852 11.4618 34.1595
42000 11.766 12.0035 12.0406 35.8102
44000 12.3635 12.4935 12.6219 37.4789
46000 13.014 12.9482 13.2761 39.2383
48000 13.6401 13.5179 13.7972 40.9552
50000 14.2365 14.2131 14.2791 42.7287
52000 14.8142 14.8592 14.8235 44.4969
54000 15.4035 15.4929 15.3845 46.2809
56000 16.0092 16.1238 15.9771 48.1102
58000 16.5358 16.7454 16.5338 49.8151
60000 17.0177 17.2586 17.1399 51.4161
62000 17.5067 17.8154 17.7636 53.0856
64000 18.0608 18.4123 18.384 54.8571
66000 18.5589 19.1536 18.9658 56.6783
68000 19.1082 19.796 19.4933 58.3975
70000 19.6429 20.4368 20.0825 60.1622
72000 20.1907 21.0844 20.7067 61.9819
74000 20.6939 21.7094 21.2201 63.6233
76000 21.2906 22.2691 21.7726 65.3323
78000 21.8393 22.9138 22.4086 67.1616
80000 22.3339 23.5549 22.9854 68.8741
82000 22.9431 24.2338 23.5269 70.7038
84000 23.5354 24.9119 24.108 72.5554
86000 24.1674 25.5037 24.7173 74.3883
88000 24.7429 26.1672 25.3107 76.2209
90000 25.2209 26.76 25.8411 77.8221
92000 25.6734 27.2904 26.3929 79.3568
94000 26.2381 27.8815 26.9084 81.028
96000 26.8247 28.5253 27.5935 82.9436
98000 27.5059 29.1676 28.1656 84.8391
100000 28.0239 29.6588 28.6629 86.3455
