# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.290725 0.288502 0.296169 0.875396
4000 0.852984 0.846402 0.856242 2.55563
6000 1.40105 1.4017 1.37755 4.18029
8000 1.93252 1.95235 1.87853 5.7634
10000 2.4309 2.48008 2.39088 7.30186
12000 2.94092 2.97967 2.95569 8.87627
14000 3.49313 3.46751 3.508 10.4686
16000 4.05216 4.00637 4.06599 12.1245
18000 4.56891 4.55194 4.66851 13.7894
20000 5.08408 5.10376 5.25868 15.4465
22000 5.61158 5.67257 5.84027 17.1244
24000 6.1815 6.23154 6.4237 18.8367
26000 6.71346 6.78276 6.99539 20.4916
28000 7.26966 7.32748 7.52628 22.1234
30000 7.79895 7.89511 8.02006 23.7141
32000 8.37588 8.40086 8.57975 25.3565
34000 8.90537 8.88568 9.13701 26.9281
36000 9.4679 9.3937 9.74989 28.6115
38000 10.0112 10.0078 10.3122 30.3313
40000 10.5632 10.5808 10.9153 32.0593
42000 11.1258 11.1597 11.5547 33.8402
44000 11.6808 11.7094 12.1993 35.5895
46000 12.2245 12.2553 12.8409 37.3207
48000 12.7714 12.7696 13.4511 38.9921
50000 13.259 13.2939 14.0604 40.6133
52000 13.7859 13.8443 14.6169 42.2472
54000 14.2995 14.4262 15.1015 43.8272
56000 14.8502 14.9739 15.624 45.4481
58000 15.3803 15.557 16.1616 47.0989
60000 15.9456 16.1146 16.7642 48.8244
62000 16.5611 16.6449 17.4249 50.6309
64000 17.1125 17.0935 18.0642 52.2702
66000 17.6906 17.5136 18.5844 53.7885
68000 18.2896 18.0291 19.1282 55.447
70000 18.8534 18.5635 19.5946 57.0114
72000 19.4202 19.1502 20.1077 58.6781
74000 20.0853 19.6812 20.6472 60.4138
76000 20.6082 20.1875 21.141 61.9367
78000 21.1336 20.817 21.7515 63.7021
80000 21.7124 21.451 22.2878 65.4511
82000 22.2447 22.0168 22.9591 67.2206
84000 22.864 22.5391 23.5158 68.9189
86000 23.3957 23.161 24.1859 70.7427
88000 23.9028 23.7453 24.8301 72.4781
90000 24.4369 24.2657 25.4447 74.1474
92000 24.9663 24.7841 26.1505 75.9008
94000 25.6441 25.3289 26.7766 77.7495
96000 26.2145 25.7824 27.331 79.3279
98000 26.7592 26.1542 27.9721 80.8856
100000 27.3698 26.6557 28.5269 82.5524
