# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.32741 0.33169 0.323076 0.982176
4000 0.948276 0.967716 0.953232 2.86923
6000 1.57234 1.57493 1.5647 4.71198
8000 2.17982 2.18897 2.18375 6.55254
10000 2.82772 2.79677 2.73711 8.36159
12000 3.45435 3.40202 3.31658 10.1729
14000 4.03717 4.01019 3.92183 11.9692
16000 4.57147 4.6161 4.50042 13.688
18000 5.11151 5.2346 5.10921 15.4553
20000 5.66422 5.83887 5.7469 17.25
22000 6.26148 6.45548 6.40558 19.1225
24000 6.82507 7.11742 7.02111 20.9636
26000 7.40012 7.72599 7.63082 22.7569
28000 8.00401 8.35229 8.27141 24.6277
30000 8.65462 8.91928 8.82399 26.3979
32000 9.24693 9.53441 9.42505 28.2064
34000 9.80035 10.1778 9.98046 29.9586
36000 10.3497 10.7552 10.5483 31.6533
38000 10.9702 11.2877 11.1201 33.378
40000 11.5997 11.8024 11.7809 35.183
42000 12.2312 12.3439 12.3775 36.9526
44000 12.8814 12.9847 13.0292 38.8953
46000 13.5856 13.6509 13.6515 40.8879
48000 14.2794 14.2484 14.2582 42.7859
50000 14.9596 14.8495 14.7805 44.5896
52000 15.6529 15.4399 15.3558 46.4486
54000 16.3268 16.0263 16.0279 48.381
56000 16.9533 16.5716 16.7075 50.2325
58000 17.6792 17.1871 17.3116 52.178
60000 18.3361 17.739 17.9149 53.9901
62000 18.8639 18.356 18.5495 55.7694
64000 19.3912 18.8445 19.0477 57.2833
66000 20.0241 19.3502 19.5813 58.9556
68000 20.6214 19.9681 20.2092 60.7987
70000 21.1967 20.5237 20.7754 62.4958
72000 21.7227 21.0854 21.3562 64.1643
74000 22.3796 21.6314 21.9312 65.9423
76000 22.9593 22.2008 22.4636 67.6237
78000 23.6425 22.8311 22.9306 69.4042
80000 24.2722 23.5039 23.4848 71.2609
82000 24.8984 24.0524 24.2009 73.1517
84000 25.4174 24.6545 25.0153 75.0871
86000 26.0214 25.2291 25.7144 76.9649
88000 26.5681 25.7817 26.3978 78.7477
90000 27.1468 26.3245 26.9859 80.4573
92000 27.7134 26.7076 27.5574 81.9784
94000 28.3238 27.2605 28.2882 83.8725
96000 28.9104 27.797 28.9921 85.6995
98000 29.4581 28.3922 29.6637 87.5141
100000 30.0993 29.03 30.2631 89.3925
