# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.265314 0.263147 0.270846 0.799307
4000 0.721575 0.73826 0.725737 2.18557
6000 1.16353 1.17665 1.15439 3.49458
8000 1.60286 1.58433 1.57588 4.76307
10000 2.02427 1.99414 1.98522 6.00364
12000 2.43268 2.42789 2.44396 7.30453
14000 2.85808 2.83272 2.8444 8.53521
16000 3.30219 3.2384 3.24048 9.78106
18000 3.69523 3.65889 3.6761 11.0302
20000 4.11827 4.12743 4.06088 12.3066
22000 4.52215 4.55133 4.50072 13.5742
24000 4.96135 4.94948 4.93343 14.8443
26000 5.42672 5.33553 5.38198 16.1442
28000 5.83529 5.75484 5.83368 17.4238
30000 6.20442 6.14844 6.24911 18.602
32000 6.66433 6.50732 6.62435 19.796
34000 7.10592 6.94189 7.0087 21.0565
36000 7.42043 7.34755 7.45897 22.227
38000 7.79918 7.75025 7.86978 23.4192
40000 8.21732 8.14035 8.28494 24.6426
42000 8.64721 8.54283 8.70105 25.8911
44000 9.02052 8.93864 9.10697 27.0661
46000 9.42452 9.3496 9.51951 28.2936
48000 9.80965 9.77802 9.95523 29.5429
50000 10.2036 10.1695 10.3975 30.7705
52000 10.707 10.5402 10.8174 32.0645
54000 11.1427 10.9447 11.2259 33.3134
56000 11.568 11.3499 11.5767 34.4946
58000 11.9684 11.742 11.9769 35.6873
60000 12.3742 12.1236 12.4465 36.9443
62000 12.7124 12.4538 12.8672 38.0334
64000 13.1312 12.8123 13.2484 39.1919
66000 13.5269 13.2255 13.7379 40.4903
68000 13.9738 13.6086 14.1708 41.7532
70000 14.4224 14.0005 14.6391 43.062
72000 14.8548 14.3912 15.0511 44.2972
74000 15.3133 14.8884 15.5288 45.7304
76000 15.7402 15.2894 15.9105 46.9401
78000 16.2245 15.7424 16.2823 48.2492
80000 16.6893 16.1521 16.6956 49.537
82000 17.1195 16.5474 17.1211 50.788
84000 17.5664 16.9393 17.4982 52.0039
86000 18.0326 17.3886 17.9153 53.3365
88000 18.4358 17.8001 18.3082 54.5441
90000 18.8813 18.2094 18.711 55.8017
92000 19.2931 18.5721 19.0226 56.8878
94000 19.7273 18.9743 19.4793 58.1809
96000 20.1527 19.3359 19.8567 59.3452
98000 20.5865 19.5874 20.2715 60.4455
100000 21.0327 19.9151 20.6665 61.6143
