# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.299388 0.299792 0.294219 0.8934
4000 0.875067 0.896234 0.876257 2.64756
6000 1.43424 1.48389 1.4531 4.37122
8000 1.95769 2.08133 2.03528 6.07431
10000 2.50065 2.61187 2.58921 7.70172
12000 3.05339 3.18609 3.15434 9.39382
14000 3.61136 3.7473 3.77923 11.1379
16000 4.13571 4.23199 4.30747 12.6752
18000 4.65773 4.76704 4.84294 14.2677
20000 5.13685 5.31649 5.38573 15.8391
22000 5.69882 5.90115 5.95103 17.551
24000 6.25203 6.4481 6.50128 19.2014
26000 6.80034 7.03564 7.08062 20.9166
28000 7.38491 7.657 7.68052 22.7224
30000 7.96461 8.328 8.25853 24.5511
32000 8.47364 8.89284 8.82147 26.1879
34000 9.02501 9.42083 9.44345 27.8893
36000 9.56391 9.98906 10.0596 29.6126
38000 10.1461 10.5799 10.6954 31.4214
40000 10.7172 11.0652 11.2739 33.0563
42000 11.2944 11.6789 11.8751 34.8484
44000 11.9297 12.258 12.4704 36.6581
46000 12.4805 12.9062 13.0335 38.4202
48000 13.0096 13.5253 13.5127 40.0476
50000 13.5958 14.13 13.9713 41.697
52000 14.1431 14.657 14.5184 43.3185
54000 14.6724 15.1865 15.0621 44.921
56000 15.2481 15.713 15.6156 46.5766
58000 15.8273 16.211 16.2025 48.2407
60000 16.3426 16.7477 16.8108 49.9011
62000 16.8991 17.3398 17.3713 51.6101
64000 17.4275 17.9174 17.9095 53.2544
66000 17.8845 18.5474 18.5259 54.9578
68000 18.3942 19.1438 19.1033 56.6413
70000 19.0413 19.7446 19.6543 58.4402
72000 19.6319 20.3153 20.2697 60.2169
74000 20.2579 20.9267 20.8367 62.0213
76000 20.7894 21.5225 21.4085 63.7204
78000 21.3415 22.0185 21.9656 65.3255
80000 21.8676 22.4992 22.6047 66.9715
82000 22.3588 23.0418 23.1316 68.5321
84000 22.8873 23.6354 23.678 70.2007
86000 23.4188 24.2007 24.1354 71.7549
88000 23.9017 24.8532 24.5646 73.3196
90000 24.3773 25.5721 25.1855 75.1349
92000 24.8384 26.3171 25.7661 76.9217
94000 25.4251 26.94 26.3109 78.676
96000 26.0007 27.55 26.9181 80.4688
98000 26.584 28.0861 27.5231 82.1932
100000 27.1505 28.7489 28.175 84.0744
