# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00473767 0.000244141
34 1.1725 0.00222953 0.000366211
35 1.2075 0.00630649 0.000732422
36 1.2425 0.0158833 0.00170898
37 1.2775 0.0600997 0.00561523
38 1.3125 0.122771 0.0140381
39 1.3475 0.24477 0.0317383
40 1.3825 0.364036 0.0594482
41 1.4175 0.52171 0.101196
42 1.4525 0.799063 0.168335
43 1.4875 0.858873 0.244019
44 1.5225 0.991743 0.335571
45 1.5575 1.14479 0.446167
46 1.5925 1.10107 0.557373
47 1.6275 1.15143 0.678833
48 1.6625 1.09126 0.79895
49 1.6975 1.01375 0.915283
50 1.7325 0.943587 1.02808
51 1.7675 0.927193 1.14343
52 1.8025 0.82361 1.25
53 1.8375 0.774377 1.35413
54 1.8725 0.760562 1.46033
55 1.9075 0.70932 1.56311
56 1.9425 0.744103 1.67493
57 1.9775 0.794029 1.79858
58 2.0125 0.879417 1.94043
59 2.0475 0.930037 2.0957
60 2.0825 1.03262 2.27405
61 2.1175 1.04731 2.46106
62 2.1525 1.13261 2.67004
63 2.1875 1.14278 2.88782
64 2.2225 1.20263 3.12439
65 2.2575 1.22698 3.37341
66 2.2925 1.25396 3.63586
67 2.3275 1.24312 3.90405
68 2.3625 1.18569 4.1676
69 2.3975 1.16786 4.43494
70 2.4325 1.14123 4.70386
71 2.4675 1.1262 4.97693
72 2.5025 1.08121 5.24658
73 2.5375 1.07825 5.52307
74 2.5725 1.07829 5.80725
75 2.6075 1.03692 6.08801
76 2.6425 1.00963 6.36877
77 2.6775 1.01035 6.65723
78 2.7125 1.0186 6.95569
79 2.7475 1.04804 7.27075
80 2.7825 0.996899 7.57812
81 2.8175 0.986958 7.89014
82 2.8525 0.993025 8.21191
83 2.8875 1.01174 8.54785
84 2.9225 1.02426 8.89624
85 2.9575 0.988599 9.2406
86 2.9925 1.0125 9.60168
87 3.0275 1.01431 9.97192
88 3.0625 1.01152 10.3497
89 3.0975 1.01755 10.7385
90 3.1325 0.976816 11.1202
91 3.1675 0.984983 11.5138
92 3.2025 0.951616 11.9025
93 3.2375 0.98467 12.3135
94 3.2725 0.966297 12.7256
95 3.3075 0.987704 13.1559
96 3.3425 0.968499 13.5868
97 3.3775 0.97567 14.03
98 3.4125 0.949968 14.4706
99 3.4475 0.963532 14.9266
100 3.4825 0.968525 15.3944
101 3.5175 0.974369 15.8745
102 3.5525 0.94142 16.3477
103 3.5875 0.959104 16.8392
104 3.6225 0.947902 17.3346
105 3.6575 0.951386 17.8414
106 3.6925 0.94063 18.3522
107 3.7275 0.95945 18.8831
108 3.7625 0.975461 19.433
109 3.7975 0.974993 19.9929
110 3.8325 0.977509 20.5647
111 3.8675 0.985719 21.1519
112 3.9025 0.988244 21.7512
113 3.9375 0.970358 22.3503
114 3.9725 0.991989 22.9738
115 4.0075 0.998977 23.6127
116 4.0425 1.00633 24.2676
117 4.0775 0.986727 24.9209
118 4.1125 0.996102 25.5918
119 4.1475 0.978292 26.262
120 4.1825 0.99125 26.9525
