# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0 0
35 1.2075 0.00426682 0.000244141
36 1.2425 0.024179 0.00170898
37 1.2775 0.0724291 0.00634766
38 1.3125 0.104733 0.0134277
39 1.3475 0.197013 0.0274658
40 1.3825 0.332013 0.0523682
41 1.4175 0.506242 0.0922852
42 1.4525 0.70478 0.150635
43 1.4875 0.81681 0.221558
44 1.5225 0.944752 0.307495
45 1.5575 1.03357 0.405884
46 1.5925 1.14687 0.52002
47 1.6275 1.11804 0.63623
48 1.6625 0.990426 0.743652
49 1.6975 0.998586 0.856567
50 1.7325 0.877811 0.959961
51 1.7675 0.876251 1.06738
52 1.8025 0.747766 1.16272
53 1.8375 0.750876 1.26221
54 1.8725 0.692905 1.35754
55 1.9075 0.703618 1.45801
56 1.9425 0.747743 1.56873
57 1.9775 0.814581 1.69373
58 2.0125 0.880198 1.83362
59 2.0475 0.939407 1.98816
60 2.0825 0.978392 2.15466
61 2.1175 1.10935 2.34985
62 2.1525 1.17361 2.56323
63 2.1875 1.18446 2.78564
64 2.2225 1.25766 3.02942
65 2.2575 1.26902 3.2832
66 2.2925 1.26786 3.54468
67 2.3275 1.26964 3.81458
68 2.3625 1.29026 4.09717
69 2.3975 1.20578 4.36914
70 2.4325 1.22759 4.65417
71 2.4675 1.14498 4.92773
72 2.5025 1.18173 5.21814
73 2.5375 1.07447 5.48962
74 2.5725 1.06612 5.76648
75 2.6075 1.07795 6.05408
76 2.6425 1.03934 6.33887
77 2.6775 1.02146 6.62622
78 2.7125 1.02867 6.92322
79 2.7475 1.01169 7.2229
80 2.7825 0.989215 7.52344
81 2.8175 0.974588 7.82703
82 2.8525 0.979492 8.13977
83 2.8875 0.978277 8.45984
84 2.9225 1.00998 8.79834
85 2.9575 1.00294 9.14258
86 2.9925 0.968149 9.48279
87 3.0275 1.0226 9.85059
88 3.0625 0.989075 10.2146
89 3.0975 1.01646 10.5973
90 3.1325 0.994187 10.9801
91 3.1675 0.988461 11.3693
92 3.2025 0.947561 11.7506
93 3.2375 0.971406 12.1501
94 3.2725 0.973687 12.5593
95 3.3075 0.94352 12.9644
96 3.3425 0.923586 13.3693
97 3.3775 0.948176 13.7937
98 3.4125 0.956608 14.2308
99 3.4475 0.961886 14.6794
100 3.4825 0.927259 15.1207
101 3.5175 0.968737 15.5911
102 3.5525 0.95837 16.0657
103 3.5875 0.936861 16.5388
104 3.6225 0.952745 17.0294
105 3.6575 0.981339 17.5446
106 3.6925 0.939552 18.0472
107 3.7275 0.965426 18.5736
108 3.7625 0.99809 19.1281
109 3.7975 0.95346 19.6676
110 3.8325 0.97933 20.2321
111 3.8675 0.968132 20.8003
112 3.9025 0.979442 21.3856
113 3.9375 0.974346 21.9784
114 3.9725 0.998847 22.5969
115 4.0075 0.982251 23.2159
116 4.0425 0.995012 23.854
117 4.0775 0.991288 24.5007
118 4.1125 0.989754 25.1576
119 4.1475 1.012 25.8407
120 4.1825 0.98731 26.5184
121 4.2175 1.00457 27.2196
