# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0.00229105 0.00012207
35 1.2075 0.00648052 0.000488281
36 1.2425 0.0183618 0.00158691
37 1.2775 0.067548 0.00585938
38 1.3125 0.11336 0.0134277
39 1.3475 0.192546 0.0269775
40 1.3825 0.301572 0.0493164
41 1.4175 0.476539 0.0864258
42 1.4525 0.613595 0.136597
43 1.4875 0.811399 0.206177
44 1.5225 0.864205 0.283813
45 1.5575 1.02187 0.379883
46 1.5925 1.0234 0.480469
47 1.6275 0.964396 0.579468
48 1.6625 0.904846 0.676392
49 1.6975 0.912735 0.77832
50 1.7325 0.870984 0.879639
51 1.7675 0.814651 0.978271
52 1.8025 0.781383 1.07666
53 1.8375 0.750035 1.1748
54 1.8725 0.689021 1.26843
55 1.9075 0.708983 1.36841
56 1.9425 0.796357 1.48486
57 1.9775 0.804664 1.60681
58 2.0125 0.86791 1.74304
59 2.0475 0.976738 1.90173
60 2.0825 1.03933 2.07642
61 2.1175 1.12397 2.27173
62 2.1525 1.19377 2.48608
63 2.1875 1.25857 2.71948
64 2.2225 1.26579 2.96179
65 2.2575 1.28062 3.21472
66 2.2925 1.31973 3.48352
67 2.3275 1.27975 3.7522
68 2.3625 1.29742 4.03284
69 2.3975 1.23625 4.30823
70 2.4325 1.22968 4.59021
71 2.4675 1.16814 4.86584
72 2.5025 1.14827 5.14453
73 2.5375 1.05615 5.40808
74 2.5725 1.08139 5.68542
75 2.6075 1.08406 5.97107
76 2.6425 1.04651 6.25427
77 2.6775 1.03559 6.54199
78 2.7125 1.02231 6.8335
79 2.7475 0.997681 7.12537
80 2.7825 1.024 7.43262
81 2.8175 0.992767 7.73804
82 2.8525 1.01578 8.05835
83 2.8875 0.982239 8.37573
84 2.9225 0.977293 8.69922
85 2.9575 0.993192 9.03589
86 2.9925 0.981351 9.37646
87 3.0275 1.01618 9.73743
88 3.0625 1.0344 10.1134
89 3.0975 1.00426 10.4868
90 3.1325 0.988042 10.8625
91 3.1675 0.980769 11.2439
92 3.2025 0.960063 11.6255
93 3.2375 0.957148 12.0143
94 3.2725 0.956196 12.4111
95 3.3075 0.928292 12.8047
96 3.3425 0.933481 13.2089
97 3.3775 0.950407 13.629
98 3.4125 0.936692 14.0518
99 3.4475 0.959908 14.4939
100 3.4825 0.939152 14.9353
101 3.5175 0.970198 15.4005
102 3.5525 0.938946 15.8597
103 3.5875 0.970641 16.3439
104 3.6225 0.969258 16.8368
105 3.6575 0.941614 17.325
106 3.6925 0.96728 17.8361
107 3.7275 0.928344 18.3359
108 3.7625 0.960326 18.8628
109 3.7975 0.961927 19.4004
110 3.8325 0.962666 19.9484
111 3.8675 0.993335 20.5242
112 3.9025 0.955328 21.088
113 3.9375 0.963206 21.6667
114 3.9725 0.978444 22.2651
115 4.0075 0.98261 22.8767
116 4.0425 0.990726 23.5042
117 4.0775 0.994252 24.1448
118 4.1125 1.00683 24.8047
119 4.1475 1.01572 25.4818
120 4.1825 0.988893 26.1522
