# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.0023714 0.00012207
34 1.1725 0.0200876 0.0012207
35 1.2075 0.0357756 0.0032959
36 1.2425 0.0814901 0.00830078
37 1.2775 0.191776 0.020752
38 1.3125 0.331307 0.043457
39 1.3475 0.544147 0.0827637
40 1.3825 0.719229 0.137451
41 1.4175 0.977359 0.215576
42 1.4525 1.26971 0.322144
43 1.4875 1.42977 0.447998
44 1.5225 1.43231 0.580078
45 1.5575 1.49895 0.724731
46 1.5925 1.53058 0.87915
47 1.6275 1.41217 1.02795
48 1.6625 1.23899 1.16418
49 1.6975 1.14157 1.29504
50 1.7325 1.03049 1.41809
51 1.7675 0.871231 1.52637
52 1.8025 0.833948 1.63416
53 1.8375 0.739774 1.73352
54 1.8725 0.711503 1.83276
55 1.9075 0.69997 1.93408
56 1.9425 0.743284 2.04565
57 1.9775 0.730547 2.1593
58 2.0125 0.778848 2.28479
59 2.0475 0.80881 2.41968
60 2.0825 0.902137 2.57532
61 2.1175 0.902673 2.73633
62 2.1525 0.958993 2.91309
63 2.1875 0.970874 3.0979
64 2.2225 1.03496 3.30127
65 2.2575 1.05249 3.51465
66 2.2925 1.01768 3.72742
67 2.3275 1.02186 3.94763
68 2.3625 0.990708 4.1676
69 2.3975 1.02499 4.40198
70 2.4325 1.00867 4.6394
71 2.4675 1.00647 4.88318
72 2.5025 1.00105 5.13257
73 2.5375 1.02176 5.39429
74 2.5725 1.00806 5.65967
75 2.6075 1.00555 5.93164
76 2.6425 1.03314 6.21863
77 2.6775 1.05681 6.52002
78 2.7125 1.03013 6.82153
79 2.7475 1.03007 7.13086
80 2.7825 1.06694 7.45947
81 2.8175 1.05297 7.79199
82 2.8525 1.05784 8.1344
83 2.8875 1.03088 8.47632
84 2.9225 1.01603 8.82153
85 2.9575 1.03738 9.1825
86 2.9925 1.03485 9.55115
87 3.0275 1.05425 9.93555
88 3.0625 1.01098 10.3127
89 3.0975 1.00266 10.6954
90 3.1325 0.992574 11.0829
91 3.1675 0.991557 11.4786
92 3.2025 1.00082 11.887
93 3.2375 0.977249 12.2944
94 3.2725 0.979953 12.7119
95 3.3075 0.959884 13.1296
96 3.3425 0.940437 13.5476
97 3.3775 0.970542 13.988
98 3.4125 0.963121 14.4342
99 3.4475 0.966901 14.8914
100 3.4825 0.943009 15.3463
101 3.5175 0.957322 15.8175
102 3.5525 0.968702 16.3038
103 3.5875 0.958476 16.7946
104 3.6225 0.971613 17.3018
105 3.6575 0.973752 17.8199
106 3.6925 0.970009 18.3461
107 3.7275 0.973743 18.8843
108 3.7625 0.994728 19.4445
109 3.7975 0.981371 20.0074
110 3.8325 1.00615 20.5953
111 3.8675 0.969761 21.1724
112 3.9025 0.997175 21.7765
113 3.9375 1.00842 22.3984
114 3.9725 1.00823 23.0314
115 4.0075 1.00293 23.6721
116 4.0425 1.02713 24.3398
117 4.0775 1.00589 25.0051
118 4.1125 1.04381 25.7074
119 4.1475 1.01253 26.4003
120 4.1825 1.00653 27.1007
