# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0.0140396 0.000732422
35 1.2075 0.0595691 0.00402832
36 1.2425 0.168782 0.013916
37 1.2775 0.283841 0.0314941
38 1.3125 0.491127 0.0635986
39 1.3475 0.74764 0.115112
40 1.3825 1.02837 0.189697
41 1.4175 1.32083 0.290405
42 1.4525 1.51564 0.411743
43 1.4875 1.69231 0.553833
44 1.5225 1.69867 0.703247
45 1.5575 1.64441 0.854614
46 1.5925 1.53487 1.00232
47 1.6275 1.38698 1.14172
48 1.6625 1.23026 1.27075
49 1.6975 1.16219 1.39783
50 1.7325 0.936726 1.50452
51 1.7675 0.816587 1.60132
52 1.8025 0.738647 1.69238
53 1.8375 0.694579 1.78137
54 1.8725 0.640415 1.86658
55 1.9075 0.655148 1.95703
56 1.9425 0.681201 2.05457
57 1.9775 0.731341 2.16309
58 2.0125 0.758548 2.27966
59 2.0475 0.829525 2.41162
60 2.0825 0.846384 2.5509
61 2.1175 0.863837 2.69788
62 2.1525 0.892215 2.85474
63 2.1875 0.925744 3.02283
64 2.2225 0.963899 3.20349
65 2.2575 0.986005 3.39417
66 2.2925 0.929195 3.57947
67 2.3275 1.00479 3.78601
68 2.3625 0.958524 3.98901
69 2.3975 0.976076 4.2019
70 2.4325 0.985161 4.4231
71 2.4675 0.998097 4.65369
72 2.5025 1.01301 4.89441
73 2.5375 1.00125 5.13904
74 2.5725 1.02134 5.39551
75 2.6075 1.03054 5.66138
76 2.6425 1.08911 5.94995
77 2.6775 1.08237 6.24438
78 2.7125 1.05899 6.54004
79 2.7475 1.06116 6.84399
80 2.7825 1.04502 7.151
81 2.8175 1.08487 7.47778
82 2.8525 1.03904 7.79858
83 2.8875 1.07304 8.13806
84 2.9225 1.06218 8.4823
85 2.9575 1.02873 8.82373
86 2.9925 1.01917 9.17004
87 3.0275 0.989077 9.51404
88 3.0625 1.00056 9.87012
89 3.0975 0.975391 10.2252
90 3.1325 0.93175 10.5721
91 3.1675 0.974761 10.9432
92 3.2025 0.962982 11.318
93 3.2375 0.970818 11.7041
94 3.2725 0.93334 12.0834
95 3.3075 0.963685 12.4834
96 3.3425 0.967796 12.8937
97 3.3775 0.942766 13.3018
98 3.4125 0.93734 13.7159
99 3.4475 0.982825 14.1592
100 3.4825 0.949906 14.5963
101 3.5175 0.973998 15.0536
102 3.5525 0.95745 15.5121
103 3.5875 0.971354 15.9865
104 3.6225 0.974494 16.4717
105 3.6575 0.950642 16.9542
106 3.6925 0.985323 17.464
107 3.7275 1.01206 17.9976
108 3.7625 0.970362 18.5188
109 3.7975 1.0032 19.0677
110 3.8325 0.983644 19.616
111 3.8675 1.02077 20.1953
112 3.9025 1.00507 20.7761
113 3.9375 1.0014 21.3652
114 3.9725 1.02664 21.98
115 4.0075 1.01319 22.5974
116 4.0425 1.01009 23.2238
117 4.0775 1.03172 23.8746
118 4.1125 1.03383 24.5381
119 4.1475 1.04076 25.2174
120 4.1825 1.05468 25.9175
121 4.2175 1.0311 26.6134
