# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0.00218712 0.00012207
35 1.2075 0.00412435 0.000366211
36 1.2425 0.0564816 0.00390625
37 1.2775 0.0736955 0.00878906
38 1.3125 0.148363 0.019165
39 1.3475 0.29476 0.0408936
40 1.3825 0.484538 0.0784912
41 1.4175 0.676395 0.133667
42 1.4525 0.914981 0.212036
43 1.4875 1.02191 0.303833
44 1.5225 1.24009 0.420532
45 1.5575 1.29159 0.547729
46 1.5925 1.25678 0.677124
47 1.6275 1.32364 0.819458
48 1.6625 1.27285 0.96228
49 1.6975 1.13638 1.09521
50 1.7325 1.08292 1.22717
51 1.7675 0.929767 1.34509
52 1.8025 0.86162 1.45874
53 1.8375 0.824657 1.57178
54 1.8725 0.829278 1.68982
55 1.9075 0.783425 1.80554
56 1.9425 0.792902 1.927
57 1.9775 0.785845 2.05176
58 2.0125 0.798097 2.18298
59 2.0475 0.869309 2.33093
60 2.0825 0.927003 2.49414
61 2.1175 0.990499 2.67444
62 2.1525 1.03253 2.86865
63 2.1875 1.08396 3.07922
64 2.2225 1.13105 3.30603
65 2.2575 1.14287 3.54248
66 2.2925 1.08821 3.77466
67 2.3275 1.12955 4.02307
68 2.3625 1.14859 4.28333
69 2.3975 1.0881 4.53723
70 2.4325 1.05803 4.79138
71 2.4675 1.09984 5.06323
72 2.5025 1.06833 5.33484
73 2.5375 1.0484 5.60889
74 2.5725 1.0287 5.88525
75 2.6075 1.01852 6.16638
76 2.6425 0.994731 6.44836
77 2.6775 1.01378 6.74341
78 2.7125 0.987782 7.03845
79 2.7475 1.03886 7.35681
80 2.7825 0.982207 7.66553
81 2.8175 0.998108 7.98718
82 2.8525 1.03881 8.33032
83 2.8875 1.03325 8.68005
84 2.9225 1.00055 9.02698
85 2.9575 1.01861 9.38867
86 2.9925 1.01742 9.75854
87 3.0275 1.00748 10.1334
88 3.0625 1.01344 10.5193
89 3.0975 1.04238 10.9253
90 3.1325 1.0091 11.3273
91 3.1675 1.0169 11.7415
92 3.2025 0.980424 12.1497
93 3.2375 0.964504 12.5601
94 3.2725 0.975993 12.9844
95 3.3075 0.965067 13.413
96 3.3425 0.962994 13.8497
97 3.3775 0.964491 14.2964
98 3.4125 0.986897 14.7629
99 3.4475 0.960382 15.2263
100 3.4825 0.977126 15.7074
101 3.5175 0.970415 16.1948
102 3.5525 0.934948 16.6738
103 3.5875 0.985951 17.189
104 3.6225 0.942243 17.6909
105 3.6575 0.942953 18.203
106 3.6925 0.945231 18.7262
107 3.7275 0.970847 19.2738
108 3.7625 0.96349 19.8275
109 3.7975 0.971041 20.396
110 3.8325 0.985528 20.9836
111 3.8675 0.994911 21.5878
112 3.9025 0.997284 22.2043
113 3.9375 0.981767 22.8223
114 3.9725 0.986456 23.4542
115 4.0075 1.01648 24.1169
116 4.0425 0.981662 24.7682
117 4.0775 1.02113 25.4574
118 4.1125 1.01129 26.1517
119 4.1475 1.00583 26.8541
120 4.1825 1.01777 27.5769
