# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0 0
34 1.1725 0.00439106 0.000244141
35 1.2075 0.0144907 0.00109863
36 1.2425 0.0391026 0.00354004
37 1.2775 0.0869253 0.00927734
38 1.3125 0.255815 0.0270996
39 1.3475 0.354075 0.0531006
40 1.3825 0.563783 0.0966797
41 1.4175 0.79016 0.160889
42 1.4525 0.965713 0.243286
43 1.4875 1.20182 0.35083
44 1.5225 1.33992 0.47644
45 1.5575 1.31895 0.605835
46 1.5925 1.3854 0.747925
47 1.6275 1.4085 0.898804
48 1.6625 1.22969 1.03625
49 1.6975 1.18789 1.17468
50 1.7325 1.14138 1.31323
51 1.7675 0.944938 1.43262
52 1.8025 0.844495 1.54358
53 1.8375 0.789388 1.65137
54 1.8725 0.773068 1.76099
55 1.9075 0.764869 1.87354
56 1.9425 0.769553 1.99097
57 1.9775 0.787324 2.11548
58 2.0125 0.827997 2.2511
59 2.0475 0.836653 2.39294
60 2.0825 0.940313 2.55786
61 2.1175 0.961995 2.7323
62 2.1525 1.02673 2.92468
63 2.1875 1.0118 3.12048
64 2.2225 1.08346 3.33691
65 2.2575 1.06493 3.5564
66 2.2925 1.1079 3.79187
67 2.3275 1.04809 4.02148
68 2.3625 1.05675 4.26001
69 2.3975 1.07023 4.50879
70 2.4325 1.07332 4.76562
71 2.4675 1.05995 5.02661
72 2.5025 1.02279 5.28564
73 2.5375 1.02056 5.55139
74 2.5725 1.01122 5.82202
75 2.6075 1.00512 6.09839
76 2.6425 1.03055 6.3894
77 2.6775 1.0021 6.67993
78 2.7125 1.01374 6.98157
79 2.7475 0.990072 7.28381
80 2.7825 1.0199 7.60315
81 2.8175 1.04035 7.93713
82 2.8525 1.03872 8.27893
83 2.8875 1.01912 8.62256
84 2.9225 1.02985 8.97827
85 2.9575 1.04737 9.34875
86 2.9925 1.0247 9.71985
87 3.0275 1.02914 10.1013
88 3.0625 1.02506 10.4901
89 3.0975 1.04607 10.896
90 3.1325 1.0256 11.303
91 3.1675 0.981094 11.701
92 3.2025 0.99479 12.1136
93 3.2375 0.991541 12.5339
94 3.2725 0.955507 12.9478
95 3.3075 0.97209 13.3778
96 3.3425 0.956702 13.8101
97 3.3775 0.980372 14.2623
98 3.4125 0.9557 14.7124
99 3.4475 0.970425 15.1788
100 3.4825 0.965702 15.6525
101 3.5175 0.923159 16.1144
102 3.5525 0.952895 16.6007
103 3.5875 0.985287 17.1135
104 3.6225 0.96542 17.6259
105 3.6575 0.972529 18.152
106 3.6925 0.98761 18.6965
107 3.7275 0.973713 19.2437
108 3.7625 0.976578 19.8027
109 3.7975 0.963264 20.3645
110 3.8325 0.985414 20.9498
111 3.8675 0.988445 21.5477
112 3.9025 0.97793 22.15
113 3.9375 1.02468 22.7925
114 3.9725 1.0132 23.4391
115 4.0075 0.998778 24.0878
116 4.0425 1.00243 24.7502
117 4.0775 1.00127 25.4235
118 4.1125 1.02732 26.1261
119 4.1475 0.998644 26.8208
120 4.1825 1.02479 27.5458
