# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00231185 0.00012207
34 1.1725 0.00435179 0.000366211
35 1.2075 0.00410319 0.000610352
36 1.2425 0.0406906 0.00317383
37 1.2775 0.0953126 0.00952148
38 1.3125 0.187541 0.0227051
39 1.3475 0.344318 0.0482178
40 1.3825 0.597869 0.0948486
41 1.4175 0.815846 0.161743
42 1.4525 1.08469 0.255127
43 1.4875 1.23569 0.366699
44 1.5225 1.37052 0.496338
45 1.5575 1.47733 0.642578
46 1.5925 1.50158 0.797974
47 1.6275 1.41849 0.951294
48 1.6625 1.40594 1.10986
49 1.6975 1.27174 1.2594
50 1.7325 1.22685 1.40967
51 1.7675 1.08874 1.54846
52 1.8025 0.992546 1.68005
53 1.8375 0.930288 1.80823
54 1.8725 0.837821 1.9281
55 1.9075 0.793381 2.0459
56 1.9425 0.738094 2.15955
57 1.9775 0.774928 2.2832
58 2.0125 0.778492 2.41187
59 2.0475 0.812758 2.5509
60 2.0825 0.867754 2.70447
61 2.1175 0.912694 2.87146
62 2.1525 0.886483 3.03906
63 2.1875 0.968997 3.22827
64 2.2225 0.998069 3.42944
65 2.2575 1.02958 3.64355
66 2.2925 0.972772 3.85217
67 2.3275 1.03319 4.08057
68 2.3625 1.01889 4.31262
69 2.3975 1.09084 4.56848
70 2.4325 1.05968 4.82434
71 2.4675 1.00084 5.073
72 2.5025 0.982118 5.32397
73 2.5375 0.990058 5.58411
74 2.5725 0.999464 5.854
75 2.6075 0.969294 6.12292
76 2.6425 0.979345 6.40198
77 2.6775 1.01734 6.69958
78 2.7125 0.978648 6.99341
79 2.7475 1.00262 7.30225
80 2.7825 1.0529 7.63489
81 2.8175 1.03406 7.96985
82 2.8525 1.06583 8.32373
83 2.8875 1.05127 8.6814
84 2.9225 1.04656 9.04614
85 2.9575 1.05784 9.42371
86 2.9925 1.07066 9.81494
87 3.0275 1.01732 10.1954
88 3.0625 1.03216 10.5905
89 3.0975 1.01021 10.986
90 3.1325 1.02648 11.397
91 3.1675 0.993191 11.8036
92 3.2025 1.01944 12.2302
93 3.2375 0.991521 12.6543
94 3.2725 0.98998 13.0869
95 3.3075 0.96531 13.5178
96 3.3425 0.988846 13.9686
97 3.3775 0.954821 14.4131
98 3.4125 0.954603 14.8667
99 3.4475 0.937835 15.3215
100 3.4825 1.00739 15.8201
101 3.5175 0.964227 16.3069
102 3.5525 0.941055 16.7915
103 3.5875 0.972059 17.302
104 3.6225 0.985282 17.8296
105 3.6575 0.952651 18.3496
106 3.6925 0.983166 18.8966
107 3.7275 0.977277 19.4507
108 3.7625 0.990455 20.0228
109 3.7975 0.97083 20.5941
110 3.8325 1.00023 21.1936
111 3.8675 1.00301 21.8058
112 3.9025 0.979006 22.4142
113 3.9375 0.992358 23.042
114 3.9725 1.01097 23.693
115 4.0075 1.01257 24.3566
116 4.0425 1.00134 25.0243
117 4.0775 1.02399 25.719
118 4.1125 1.01565 26.4199
119 4.1475 1.01928 27.1354
120 4.1825 0.992371 27.8438
