# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00253447 0.00012207
34 1.1725 0.0262397 0.00146484
35 1.2075 0.112458 0.00756836
36 1.2425 0.240038 0.0213623
37 1.2775 0.432029 0.0476074
38 1.3125 0.685333 0.0915527
39 1.3475 0.975294 0.157471
40 1.3825 1.19421 0.242432
41 1.4175 1.46239 0.351807
42 1.4525 1.77049 0.490845
43 1.4875 1.77857 0.637329
44 1.5225 1.79819 0.79248
45 1.5575 1.74532 0.950073
46 1.5925 1.51557 1.09314
47 1.6275 1.39908 1.23108
48 1.6625 1.21502 1.35608
49 1.6975 1.12333 1.47656
50 1.7325 0.892657 1.57629
51 1.7675 0.833511 1.67322
52 1.8025 0.734837 1.76208
53 1.8375 0.645918 1.84326
54 1.8725 0.649123 1.92798
55 1.9075 0.633633 2.01379
56 1.9425 0.638818 2.10352
57 1.9775 0.707818 2.20654
58 2.0125 0.739285 2.31799
59 2.0475 0.772116 2.43848
60 2.0825 0.800072 2.56763
61 2.1175 0.885018 2.71533
62 2.1525 0.901773 2.87085
63 2.1875 0.937571 3.03784
64 2.2225 0.948775 3.21228
65 2.2575 0.933742 3.3894
66 2.2925 0.922921 3.56995
67 2.3275 0.932908 3.75806
68 2.3625 0.918398 3.94885
69 2.3975 0.942559 4.15051
70 2.4325 0.959417 4.36182
71 2.4675 1.00296 4.58911
72 2.5025 0.996569 4.82141
73 2.5375 1.05127 5.07336
74 2.5725 0.943568 5.30579
75 2.6075 0.990761 5.55652
76 2.6425 1.06379 5.83301
77 2.6775 1.03707 6.10974
78 2.7125 1.08626 6.40723
79 2.7475 1.03313 6.69751
80 2.7825 1.03738 6.99646
81 2.8175 1.1167 7.32642
82 2.8525 1.07133 7.65088
83 2.8875 1.03057 7.9707
84 2.9225 1.04904 8.3042
85 2.9575 1.0131 8.63403
86 2.9925 1.00932 8.97046
87 3.0275 1.01296 9.31604
88 3.0625 1.01371 9.66992
89 3.0975 1.01589 10.0327
90 3.1325 0.984957 10.3925
91 3.1675 0.97279 10.7557
92 3.2025 0.938532 11.114
93 3.2375 0.951204 11.4851
94 3.2725 0.941684 11.8605
95 3.3075 0.984517 12.2614
96 3.3425 0.983381 12.6703
97 3.3775 0.944706 13.0714
98 3.4125 0.940635 13.4791
99 3.4475 0.964679 13.9059
100 3.4825 0.961611 14.34
101 3.5175 0.96351 14.7837
102 3.5525 0.956053 15.2328
103 3.5875 0.962971 15.6941
104 3.6225 0.978692 16.1721
105 3.6575 0.99609 16.6681
106 3.6925 1.0153 17.1833
107 3.7275 0.982161 17.6913
108 3.7625 1.00822 18.2225
109 3.7975 1.00746 18.7633
110 3.8325 1.0021 19.3112
111 3.8675 0.996319 19.8658
112 3.9025 1.01815 20.443
113 3.9375 1.03482 21.0402
114 3.9725 1.0175 21.6378
115 4.0075 1.01961 22.2473
116 4.0425 1.02732 22.8722
117 4.0775 1.03205 23.5109
118 4.1125 0.99284 24.1359
119 4.1475 1.02458 24.7919
120 4.1825 1.01932 25.4556
