# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.381219 0.381617 0.373452 1.13629
4000 1.12848 1.1448 1.13036 3.40364
6000 1.84106 1.91737 1.84725 5.60568
8000 2.58059 2.67628 2.57111 7.82799
10000 3.31187 3.39169 3.29731 10.0009
12000 4.0084 4.1371 4.04386 12.1894
14000 4.73457 4.91292 4.79601 14.4435
16000 5.47571 5.62046 5.51186 16.608
18000 6.22011 6.40876 6.28577 18.9146
20000 6.98834 7.21491 7.11099 21.3142
22000 7.8171 7.96052 7.96053 23.7382
24000 8.61386 8.74181 8.80745 26.1631
26000 9.32424 9.61616 9.5975 28.5379
28000 10.046 10.3763 10.3465 30.7688
30000 10.8636 11.1339 11.1488 33.1463
32000 11.6379 11.881 11.9149 35.4338
34000 12.4687 12.6035 12.6278 37.7001
36000 13.3047 13.3262 13.4249 40.0558
38000 14.0402 14.0671 14.2996 42.4068
40000 14.7676 14.974 15.1274 44.869
42000 15.4692 15.7471 15.9409 47.1572
44000 16.2533 16.4903 16.6797 49.4232
46000 17.0866 17.2122 17.4166 51.7154
48000 17.7895 17.9474 18.2515 53.9884
50000 18.5174 18.643 19.0171 56.1775
52000 19.3087 19.3801 19.728 58.4168
54000 20.0976 20.1544 20.4931 60.7451
56000 20.8441 20.925 21.3122 63.0813
58000 21.5993 21.6745 21.9106 65.1843
60000 22.3802 22.4057 22.6071 67.393
62000 23.1213 23.2536 23.4259 69.8008
64000 23.8024 24.0469 24.1663 72.0156
66000 24.5312 24.8562 24.9157 74.3031
68000 25.3456 25.7456 25.627 76.7182
70000 26.1509 26.599 26.2505 79.0003
72000 26.9387 27.3757 27.0001 81.3144
74000 27.6009 28.197 27.8149 83.6128
76000 28.3107 28.874 28.4707 85.6555
78000 29.1379 29.5732 29.0901 87.8012
80000 29.7999 30.2772 29.8001 89.8773
82000 30.7738 31.0549 30.4726 92.3013
84000 31.5699 31.6827 31.1942 94.4468
86000 32.2568 32.3965 31.9638 96.6172
88000 32.9972 33.1974 32.7157 98.9103
90000 33.6812 33.868 33.5421 101.091
92000 34.3562 34.518 34.3642 103.238
94000 35.1254 35.2303 35.1177 105.473
96000 35.8936 36.0981 35.9006 107.892
98000 36.6677 36.991 36.6266 110.285
100000 37.423 37.7954 37.2632 112.482
