# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.404593 0.420785 0.405089 1.23047
4000 1.21061 1.25924 1.25142 3.72127
6000 2.01318 2.0387 2.09044 6.14231
8000 2.83433 2.79289 2.9132 8.54042
10000 3.61875 3.55903 3.73731 10.9151
12000 4.45807 4.33689 4.51556 13.3105
14000 5.27837 5.09063 5.29341 15.6624
16000 6.05926 5.83508 6.08912 17.9835
18000 6.91274 6.55638 6.85683 20.3259
20000 7.7879 7.329 7.59299 22.7099
22000 8.64565 8.1243 8.3486 25.1185
24000 9.42968 8.93558 9.08531 27.4506
26000 10.1959 9.77693 9.72977 29.7026
28000 10.8612 10.6073 10.4381 31.9066
30000 11.5757 11.3674 11.2693 34.2124
32000 12.336 12.1558 12.1812 36.673
34000 13.0992 12.9055 13.0037 39.0084
36000 13.8207 13.7433 13.7302 41.2943
38000 14.5893 14.6093 14.5227 43.7214
40000 15.4375 15.4091 15.3112 46.1578
42000 16.2578 16.2702 16.1688 48.6968
44000 16.9797 17.0388 17.0628 51.0813
46000 17.7191 17.7681 17.9295 53.4168
48000 18.3872 18.4758 18.6701 55.5331
50000 19.1553 19.3711 19.4334 57.9598
52000 19.866 20.2761 20.239 60.3811
54000 20.6647 21.1311 21.1442 62.94
56000 21.5625 21.9728 21.8894 65.4246
58000 22.5219 22.843 22.664 68.029
60000 23.2847 23.6567 23.4423 70.3838
62000 24.0602 24.5375 24.1717 72.7694
64000 24.7689 25.4661 24.9894 75.2244
66000 25.5841 26.3018 25.7308 77.6167
68000 26.4079 27.2668 26.5879 80.2626
70000 27.1958 28.1529 27.4235 82.7721
72000 27.8998 28.9746 28.1635 85.0379
74000 28.7462 29.7827 28.9414 87.4703
76000 29.512 30.5888 29.6993 89.8001
78000 30.2112 31.4491 30.5456 92.2059
80000 31.1486 32.3234 31.3464 94.8184
82000 31.921 33.1221 32.1341 97.1771
84000 32.6961 34.1381 32.9727 99.8069
86000 33.5003 35.0424 33.5903 102.133
88000 34.2774 35.8641 34.3669 104.508
90000 35.0617 36.7317 35.1706 106.964
92000 35.8736 37.628 36.0433 109.545
94000 36.7425 38.7372 36.9244 112.404
96000 37.5857 39.6775 37.7583 115.021
98000 38.2859 40.5892 38.6554 117.531
100000 39.0477 41.5686 39.4169 120.033
