# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.40352 0.397907 0.411413 1.21284
4000 1.23208 1.20386 1.25995 3.6959
6000 2.05074 2.03304 2.07213 6.15591
8000 2.87683 2.87575 2.89395 8.64653
10000 3.69082 3.65989 3.7124 11.0631
12000 4.48215 4.50638 4.47588 13.4644
14000 5.33782 5.37149 5.21039 15.9197
16000 6.19186 6.16906 5.98254 18.3435
18000 7.07091 7.03264 6.72388 20.8274
20000 7.88984 7.89985 7.56116 23.3509
22000 8.6427 8.73548 8.38075 25.7589
24000 9.47158 9.54247 9.20141 28.2155
26000 10.3276 10.3511 9.99515 30.6738
28000 11.09 11.1495 10.8343 33.0738
30000 11.8759 11.9131 11.6602 35.4492
32000 12.6792 12.7296 12.4783 37.8871
34000 13.3685 13.5525 13.4002 40.3212
36000 14.1511 14.355 14.2572 42.7633
38000 14.8785 15.1043 14.9931 44.9759
40000 15.6813 15.9446 15.8278 47.4536
42000 16.4293 16.8028 16.6973 49.9294
44000 17.1813 17.6583 17.5487 52.3882
46000 17.9035 18.5769 18.4042 54.8846
48000 18.6861 19.4111 19.258 57.3551
50000 19.4652 20.235 20.2357 59.9359
52000 20.2941 21.0661 21.1749 62.5352
54000 21.1003 21.9051 22.0733 65.0787
56000 21.8689 22.7815 22.8971 67.5476
58000 22.6932 23.683 23.7731 70.1493
60000 23.5338 24.2472 24.6165 72.3975
62000 24.3483 25.0064 25.4061 74.7608
64000 25.1058 25.7822 26.1877 77.0757
66000 25.8883 26.5416 26.9213 79.3512
68000 26.5946 27.3518 27.6116 81.558
70000 27.3388 28.1785 28.4139 83.9312
72000 28.0622 29.0507 29.2052 86.318
74000 28.9054 29.9123 30.0116 88.8293
76000 29.7117 30.7609 30.7355 91.2082
78000 30.5444 31.6894 31.5788 93.8126
80000 31.3569 32.5681 32.4086 96.3336
82000 32.1897 33.373 33.2367 98.7994
84000 32.9476 34.181 34.119 101.248
86000 33.7879 34.8929 34.8524 103.533
88000 34.7198 35.7531 35.6967 106.17
90000 35.5683 36.589 36.5969 108.754
92000 36.4701 37.4795 37.5504 111.5
94000 37.2034 38.2525 38.3423 113.798
96000 38.0599 39.1462 39.1733 116.379
98000 38.9226 39.9497 39.941 118.813
100000 39.7531 40.7305 40.6883 121.172
