# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.375938 0.380661 0.372941 1.12954
4000 1.11913 1.13331 1.09332 3.34576
6000 1.83325 1.84536 1.80478 5.48339
8000 2.53956 2.59411 2.5253 7.65898
10000 3.294 3.32451 3.24659 9.8651
12000 4.04677 4.04575 3.93804 12.0306
14000 4.79447 4.78689 4.61924 14.2006
16000 5.50573 5.54723 5.35653 16.4095
18000 6.18919 6.27274 6.1003 18.5622
20000 6.86949 6.99214 6.85366 20.7153
22000 7.58104 7.71177 7.57069 22.8635
24000 8.30656 8.50329 8.30975 25.1196
26000 8.96395 9.27742 9.07298 27.3144
28000 9.63485 10.0684 9.7943 29.4975
30000 10.3635 10.8692 10.5006 31.7333
32000 11.0526 11.547 11.2106 33.8101
34000 11.7517 12.2686 11.9201 35.9404
36000 12.4451 12.9756 12.6554 38.0761
38000 13.0762 13.7653 13.3405 40.182
40000 13.8406 14.4734 14.0395 42.3535
42000 14.5679 15.1691 14.6874 44.4244
44000 15.3401 15.9624 15.3901 46.6927
46000 16.077 16.6673 16.1394 48.8837
48000 16.7891 17.3158 16.8772 50.9822
50000 17.3984 18.0413 17.6272 53.0669
52000 18.1272 18.8167 18.3357 55.2796
54000 18.861 19.4895 19.0004 57.3509
56000 19.5788 20.2577 19.7108 59.5473
58000 20.2712 21.0018 20.4186 61.6917
60000 20.9099 21.7015 21.1723 63.7838
62000 21.6263 22.3569 21.851 65.8341
64000 22.2822 23.0049 22.4828 67.77
66000 23.0347 23.7646 23.0914 69.8907
68000 23.8508 24.4504 23.8818 72.183
70000 24.5677 25.2105 24.7046 74.4828
72000 25.3375 25.8604 25.4972 76.6951
74000 26.1531 26.5214 26.2761 78.9506
76000 26.7924 27.185 27.0391 81.0165
78000 27.4667 27.8738 27.7028 83.0433
80000 28.227 28.49 28.3894 85.1064
82000 28.8951 29.1495 29.226 87.2706
84000 29.6386 29.7944 30.033 89.466
86000 30.3051 30.5309 30.8457 91.6817
88000 31.108 31.3199 31.5243 93.9522
90000 31.8283 32.0734 32.1809 96.0826
92000 32.5208 32.9149 32.7636 98.1993
94000 33.2075 33.5597 33.4919 100.259
96000 33.9273 34.1068 34.113 102.147
98000 34.6303 34.8762 34.8111 104.318
100000 35.2066 35.6479 35.5671 106.422
