# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.34725 0.343461 0.348657 1.03937
4000 1.00793 1.00103 1.01578 3.02474
6000 1.65131 1.63132 1.63255 4.91518
8000 2.2852 2.26881 2.22862 6.78263
10000 2.92442 2.94932 2.83937 8.71311
12000 3.54303 3.60775 3.48303 10.6338
14000 4.20708 4.24761 4.1256 12.5803
16000 4.88936 4.8879 4.73148 14.5087
18000 5.5799 5.51119 5.38541 16.4765
20000 6.22968 6.16064 6.0224 18.4127
22000 6.8904 6.82772 6.70037 20.4185
24000 7.54397 7.47534 7.36103 22.3803
26000 8.24851 8.21259 8.09001 24.5511
28000 8.87214 8.88417 8.83898 26.5953
30000 9.53205 9.52852 9.52315 28.5837
32000 10.1973 10.2431 10.2799 30.7203
34000 10.8951 10.9831 11.0397 32.9179
36000 11.5505 11.6831 11.7222 34.9558
38000 12.2447 12.3068 12.3612 36.9127
40000 12.8669 12.9025 13.0196 38.789
42000 13.3855 13.5298 13.6779 40.5933
44000 13.9665 14.1602 14.2501 42.3768
46000 14.5168 14.7597 14.8707 44.1472
48000 15.1585 15.4064 15.6148 46.1797
50000 15.7941 16.0786 16.377 48.2497
52000 16.4196 16.7209 17.0432 50.1837
54000 17.1048 17.4468 17.6719 52.2235
56000 17.8013 18.1502 18.3347 54.2862
58000 18.4303 18.8686 18.9506 56.2495
60000 19.0593 19.5542 19.4717 58.0851
62000 19.6142 20.1622 20.0581 59.8345
64000 20.1567 20.888 20.5238 61.5685
66000 20.7255 21.5893 21.0724 63.3871
68000 21.4549 22.2494 21.6682 65.3724
70000 22.2764 22.8618 22.3236 67.4618
72000 23.0139 23.5032 22.9297 69.4469
74000 23.6245 24.2164 23.466 71.3069
76000 24.255 24.877 23.996 73.128
78000 24.8999 25.4551 24.525 74.8801
80000 25.4951 25.981 25.1111 76.5871
82000 26.1845 26.5502 25.68 78.4147
84000 26.8672 27.1371 26.2466 80.2509
86000 27.5189 27.6547 26.8607 82.0343
88000 28.1863 28.2264 27.4439 83.8566
90000 28.883 28.9252 28.1244 85.9326
92000 29.5849 29.4635 28.9192 87.9676
94000 30.2584 30.0661 29.6635 89.988
96000 30.9656 30.8015 30.4124 92.1795
98000 31.5379 31.4042 31.055 93.9971
100000 32.2573 31.9907 31.6363 95.8844
