# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.334256 0.339186 0.340145 1.01359
4000 0.935552 0.955725 0.951107 2.84238
6000 1.49444 1.54558 1.50367 4.54369
8000 2.06937 2.10618 2.09202 6.26758
10000 2.64642 2.68964 2.67277 8.00883
12000 3.21155 3.27637 3.22583 9.71375
14000 3.79602 3.87229 3.78037 11.4487
16000 4.36199 4.46492 4.31967 13.1466
18000 4.94834 5.06109 4.88316 14.8926
20000 5.55359 5.7059 5.43799 16.6975
22000 6.14406 6.37122 5.99824 18.5135
24000 6.69638 6.97204 6.55847 20.2269
26000 7.2616 7.50016 7.11025 21.872
28000 7.85695 8.04117 7.66808 23.5662
30000 8.4346 8.60831 8.22568 25.2686
32000 9.02603 9.18626 8.75819 26.9705
34000 9.62618 9.78869 9.20172 28.6166
36000 10.183 10.4003 9.69131 30.2747
38000 10.6895 11.004 10.2304 31.9238
40000 11.214 11.6805 10.8042 33.6987
42000 11.8555 12.2604 11.3613 35.4772
44000 12.5222 12.8011 11.948 37.2714
46000 13.1304 13.3242 12.5605 39.0152
48000 13.8251 13.8831 13.1833 40.8916
50000 14.6008 14.423 13.8229 42.8467
52000 15.2551 14.9968 14.3666 44.6185
54000 15.8897 15.61 14.8987 46.3984
56000 16.5348 16.1169 15.3947 48.0464
58000 17.1105 16.5806 16.0189 49.7099
60000 17.6624 17.1958 16.6154 51.4735
62000 18.2106 17.7871 17.2358 53.2334
64000 18.7347 18.2723 17.8214 54.8284
66000 19.269 18.8866 18.2796 56.4351
68000 19.7956 19.3984 18.8591 58.0531
70000 20.3624 19.9528 19.5854 59.9006
72000 20.8425 20.6403 20.2143 61.6971
74000 21.4725 21.2461 20.8153 63.5339
76000 22.0204 21.8232 21.4012 65.2447
78000 22.6021 22.4243 21.8937 66.9201
80000 23.1816 22.9917 22.4187 68.592
82000 23.7981 23.6244 22.9247 70.3472
84000 24.2971 24.2284 23.3872 71.9126
86000 24.793 24.8137 23.8926 73.4994
88000 25.3475 25.3948 24.4537 75.196
90000 25.8843 25.9005 24.8661 76.6509
92000 26.457 26.4587 25.3864 78.302
94000 27.049 27.0546 25.9386 80.0422
96000 27.6284 27.6288 26.4654 81.7226
98000 28.1204 28.1556 27.0026 83.2786
100000 28.5935 28.7065 27.501 84.801
