# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.333494 0.331144 0.331113 0.995751
4000 0.940511 0.946046 0.946495 2.83305
6000 1.51942 1.55996 1.5618 4.64119
8000 2.08919 2.12295 2.11934 6.33148
10000 2.64767 2.71237 2.67871 8.03875
12000 3.20482 3.31331 3.22848 9.74662
14000 3.79325 3.89213 3.78379 11.4692
16000 4.40319 4.4798 4.32926 13.2123
18000 4.98505 5.07604 4.90995 14.971
20000 5.58759 5.68797 5.48801 16.7636
22000 6.22637 6.31224 6.0284 18.567
24000 6.83851 6.93254 6.56306 20.3341
26000 7.51276 7.53658 7.10683 22.1562
28000 8.09841 8.07374 7.60119 23.7734
30000 8.68984 8.71269 8.18839 25.5909
32000 9.26919 9.45264 8.78833 27.5102
34000 9.88652 10.0615 9.36599 29.314
36000 10.4912 10.6084 9.97379 31.0733
38000 11.0534 11.21 10.5631 32.8265
40000 11.639 11.826 11.1135 34.5785
42000 12.234 12.4122 11.7594 36.4055
44000 12.8389 13.0275 12.4325 38.2989
46000 13.3952 13.59 13.0694 40.0547
48000 14.0142 14.1453 13.6459 41.8055
50000 14.6315 14.7129 14.1906 43.535
52000 15.238 15.3695 14.7931 45.4005
54000 15.8788 15.8914 15.4089 47.179
56000 16.4129 16.3762 16.0645 48.8536
58000 16.9768 16.8673 16.7177 50.5618
60000 17.5627 17.3828 17.449 52.3946
62000 18.2973 17.9365 18.1302 54.3639
64000 18.9067 18.4769 18.7419 56.1255
66000 19.5407 19.1201 19.3484 58.0092
68000 20.0678 19.6783 19.9085 59.6546
70000 20.6291 20.2382 20.4131 61.2803
72000 21.2777 20.8452 21.0285 63.1513
74000 21.8379 21.4086 21.647 64.8936
76000 22.5187 21.9149 22.2484 66.6819
78000 23.2364 22.5458 22.7456 68.5278
80000 23.8151 23.1773 23.396 70.3885
82000 24.446 23.7075 23.9691 72.1226
84000 25.1338 24.2467 24.6107 73.9912
86000 25.8054 24.7348 25.2673 75.8074
88000 26.3507 25.3472 25.9315 77.6294
90000 26.9183 25.9165 26.5378 79.3725
92000 27.4827 26.5304 27.1802 81.1933
94000 28.0507 27.1526 27.9304 83.1338
96000 28.6961 27.625 28.5307 84.8517
98000 29.3912 28.2773 29.0809 86.7493
100000 29.958 28.98 29.5162 88.4542
