# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.417184 0.405193 0.416779 1.23916
4000 1.22449 1.21836 1.24317 3.68602
6000 1.9787 2.01411 2.03286 6.02567
8000 2.75811 2.79804 2.80897 8.36512
10000 3.53179 3.60148 3.59774 10.731
12000 4.34086 4.38358 4.38545 13.1099
14000 5.15247 5.16079 5.20513 15.5184
16000 5.88876 5.92685 6.00321 17.8188
18000 6.77147 6.7157 6.84562 20.3328
20000 7.63744 7.45341 7.63529 22.7261
22000 8.48506 8.24067 8.41515 25.1409
24000 9.3126 9.0316 9.11902 27.4632
26000 10.0526 9.78254 9.89071 29.7258
28000 10.8484 10.5428 10.6245 32.0158
30000 11.6133 11.3668 11.405 34.3852
32000 12.3236 12.2388 12.2304 36.7927
34000 13.1633 13.1026 13.0658 39.3316
36000 14.0811 13.9279 13.8144 41.8234
38000 14.8 14.6754 14.4951 43.9705
40000 15.5059 15.416 15.2655 46.1874
42000 16.3286 16.1629 16.1192 48.6106
44000 17.1003 16.8315 16.8474 50.7792
46000 17.9164 17.6388 17.6052 53.1604
48000 18.636 18.3351 18.3507 55.3218
50000 19.4919 18.9603 19.1643 57.6165
52000 20.3765 19.6392 20.0148 60.0305
54000 21.2056 20.3852 20.9421 62.5328
56000 21.938 21.187 21.7331 64.8581
58000 22.5549 21.8719 22.5103 66.937
60000 23.2113 22.5721 23.3333 69.1166
62000 23.9739 23.3759 24.1999 71.5496
64000 24.7588 24.2124 24.9577 73.9289
66000 25.5632 25.0358 25.6577 76.2567
68000 26.4032 25.8578 26.4114 78.6725
70000 27.3172 26.6566 27.1412 81.115
72000 28.224 27.3939 27.8832 83.5011
74000 29.0776 28.2208 28.7181 86.0165
76000 29.9038 29.1103 29.567 88.5811
78000 30.7545 29.9636 30.3535 91.0715
80000 31.7328 30.7969 31.1528 93.6825
82000 32.6819 31.7233 32.1636 96.5689
84000 33.4651 32.5711 33.1154 99.1516
86000 34.4315 33.3146 33.9894 101.736
88000 35.4481 34.2112 34.7322 104.392
90000 36.375 35.026 35.4534 106.854
92000 37.1794 35.8416 36.2691 109.29
94000 38.1076 36.7341 37.2526 112.094
96000 38.9232 37.5273 38.1679 114.618
98000 39.9255 38.3651 39.0288 117.319
100000 40.9211 39.1176 39.8524 119.891
