# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.403456 0.400848 0.410321 1.21462
4000 1.2297 1.21812 1.2548 3.70262
6000 2.03743 2.02189 2.02397 6.08329
8000 2.85668 2.81431 2.76885 8.43983
10000 3.66601 3.62441 3.53163 10.822
12000 4.45716 4.43173 4.29394 13.1828
14000 5.296 5.23384 5.15792 15.6878
16000 6.11875 6.0284 5.96039 18.1075
18000 6.92334 6.81829 6.77831 20.5199
20000 7.72258 7.58045 7.62085 22.9239
22000 8.55305 8.39924 8.45455 25.4068
24000 9.40557 9.23712 9.27923 27.9219
26000 10.176 10.0142 10.1008 30.291
28000 10.9768 10.752 10.8889 32.6177
30000 11.849 11.5366 11.7312 35.1169
32000 12.6089 12.3658 12.5065 37.4812
34000 13.3511 13.1643 13.27 39.7854
36000 14.1316 13.9696 14.08 42.1812
38000 14.9214 14.8643 14.9143 44.7001
40000 15.6654 15.6728 15.7255 47.0636
42000 16.6084 16.4967 16.4783 49.5834
44000 17.4244 17.3707 17.2454 52.0406
46000 18.1747 18.2561 18.0266 54.4574
48000 18.9431 19.0157 18.8339 56.7927
50000 19.6965 19.676 19.6044 58.9768
52000 20.5111 20.4552 20.4032 61.3694
54000 21.2372 21.1205 21.1495 63.5072
56000 21.9607 21.7921 21.9359 65.6887
58000 22.7379 22.5208 22.6847 67.9434
60000 23.5074 23.3426 23.4246 70.2746
62000 24.2553 24.1037 24.1548 72.5139
64000 24.9828 24.937 24.8115 74.7314
66000 25.7545 25.624 25.479 76.8574
68000 26.5796 26.2922 26.1787 79.0505
70000 27.4173 27.0942 26.9674 81.4789
72000 28.1268 27.8823 27.7958 83.8049
74000 28.9715 28.6934 28.7472 86.4121
76000 29.7492 29.5718 29.6561 88.9771
78000 30.5142 30.4451 30.5516 91.5109
80000 31.2835 31.1727 31.3249 93.7812
82000 32.0156 31.9364 32.1248 96.0768
84000 32.9062 32.714 32.9517 98.5718
86000 33.6177 33.5295 33.7557 100.903
88000 34.3991 34.2391 34.7338 103.372
90000 35.2481 34.9343 35.5135 105.696
92000 35.9524 35.766 36.2887 108.007
94000 36.6028 36.5537 37.0145 110.171
96000 37.3935 37.4444 37.7919 112.63
98000 38.1587 38.2543 38.673 115.086
100000 38.7693 39.2134 39.4112 117.394
